,2014,2015,2016,2017,2018,2019
Power Generation,"15,587","17,554","19,386","23,327","26,101","28,654"
Cement,"3,203","3,348","3,893","4,423","2,848","2,754"
Industrial/Direct Uses*,"1,372","1,104","1,515","1,569","2,027","1,714"
TOTAL,"20,163","22,006","24,794","29,320","30,976","33,122"
