,2020,2021,2022,2023,2024,AAGR*
Households,"10,028","10,179","10,310","10,536","10,985",2.6%
Oil,"1,238","1,266","1,311","1,350","1,373",4.8%
LPG,"1,187","1,215","1,265","1,318","1,343",5.7%
Kerosene,51,51,46,32,30,-10.7%
Biomass,"5,842","5,904","5,962","6,008","6,069",0.4%
Fuelwood,"4,121","4,136","4,145","4,145","4,153",-0.3%
Charcoal,"1,209","1,263","1,317","1,372","1,431",4.2%
Agriwaste,512,506,500,491,484,-1.9%
Electricity,"2,949","3,008","3,037","3,179","3,543",7.0%
Services,"4,606","4,848","4,452","4,736","5,138",4.2%
Oil,"2,462","2,662","2,005","2,117","2,357",5.1%
Diesel,"1,877","2,027","1,318","1,480","1,691",4.8%
Fuel Oil,121,155,173,151,147,2.7%
LPG,464,480,514,487,519,6.9%
Biomass,325,330,332,334,336,0.1%
Ricehull,5,5,5,5,4,-4.0%
Charcoal,155,157,158,159,160,-0.1%
Fuelwood,165,167,169,170,172,0.5%
Biodiesel,37,40,26,29,34,5.5%
Electricity,"1,782","1,816","2,089","2,256","2,410",4.1%
Agriculture,436,556,379,402,439,2.2%
Oil,211,243,139,145,148,-1.5%
Gasoline,10,15,17,10,4,-0.5%
Kerosene(c),1,0.5,0.1,-,0,-11.4%
Diesel,198,226,121,133,143,-1.5%
Fuel Oil,2,2,1,1,1,-6.8%
Biodiesel,4,4,2,3,3,-2.0%
Electricity,221,308,237,254,288,4.9%
Non-Energy Use,"1,372","1,642","1,289","1,397","1,528",9.7%
Oil,"1,160","1,430","1,198","1,317","1,445",12.4%
Coal,212,213,91,80,83,-6.0%
Total,"32,601","35,028","35,859","37,019","38,898",3.2%
