,2014,2015,2016,2017,2018,2019
Fuelwood,"4,623","4,596","4,472","4,465","4,458","4,454"
Charcoal,"1,107","1,138","1,193","1,236","1,281","1,329"
Agriwaste,992,982,967,968,958,947
Bagasse,540,627,780,899,942,919
Ricehull,55,55,56,57,58,58
Animal Waste,20,21,21,21,21,22
Municipal Waste,19,11,5,6,6,7
Total,"7,356","7,431","7,494","7,651","7,725","7,736"
