,2020,2021,2022,2023,2024
Installed Generating Capacity (MW),"3,779","3,752","3,745","3,799","3,836"
Dependable Generating Capacity (MW),"3,527","3,500","3,444","3,499","3,485"
Electricity Generation (GWh),"7,192","9,185","10,085","10,287","10,909"
