,2014,2015,2016,2017,2018,2019
Transport,"79,996","91,891","99,456","105,255","108,811","112,365"
Industry,"9,224","10,528","11,046","11,022","11,392","10,732"
Households,"9,074","10,301","11,938","12,342","13,373","14,014"
Services,"11,641","10,692","13,456","17,357","18,393","19,386"
Agriculture,"1,306","1,471","1,731","2,202","1,579","1,741"
Power Generation,"9,762","9,976","8,833","6,965","5,292","5,728"
Non-Energy Use,"3,501","8,368","8,954","11,397","9,964","7,851"
Total,"124,503","143,226","155,414","166,539","168,805","171,817"
