Indicator,2023,2024,GR
"GHG emission-to-GDP ratio
(tCOe/PhP 100K, 2000=100)
2",0.72,0.73,1.1%
"GHG emission per capita
(tCOe/person)
2",1.36,1.44,5.9%
"GHG emission per Electricity
Generation (tCOe/MWh)
2",0.76,0.77,0.4%
"GHG emission per Oil consumption
(tCOe/TOE)
2",2.73,2.73,0.2%
"GHG emission per TPES
(tCOe/TOE)
2",2.32,2.35,1.4%
