,2020,2021,2022,2023,2024,AAGR*
Transport,"82,310","90,845","106,848","114,299","120,771",4.2%
Industry,"11,872","12,149","14,216","12,548","11,723",2.4%
Households,"13,272","13,583","14,084","14,542","14,805",5.0%
Services,"20,087","21,638","16,756","17,534","19,464",5.3%
Agriculture,"1,602","1,851","1,065","1,101","1,123",-1.5%
Power Generation,"3,646","2,969","6,106","5,079","5,158",-6.2%
Non-Energy Use,"9,228","11,387","9,496","10,477","11,471",12.6%
Total,"142,017","154,422","168,571","175,580","184,515",4.0%
