Country,2023,2024,GR
Indonesia,"34,822","40,139",15.3%
Australia,207,82,-60.6%
China,0.35,0.33,-7.5%
Vietnam,164,134,-18.4%
Others*,341,1,-99.6%
Total,"35,535","40,356",13.6%
