,2020,2021,2022,2023,2024,AAGR*
Semirara,"12,880","13,957","14,387","14,918","14,918",7.3%
Zamboanga,-,-,-,0.99,18.63,2.0%
Cebu,2,1,2,4,4,-20.8%
"Albay, Bicol",13,8,2,10,6,-11.4%
Surigao del Sur (a),-,-,-,-,-,-15.0%
Negros (b),0,0,0,1,2,24.1%
South Cotabato (c),-,-,-,229,851,272.3%
Small-scale Mines,57,82,66,93,117,-0.8%
Total Production,"12,951","14,048","14,457","15,255","15,918",7.7%
Run of Mine (MMT),"13,257","14,378","16,061","16,509","17,661",7.7%
