sector_and_activity,2023,2024,gr,2023_numeric,2024_numeric,gr_numeric,gr_unit,source_pdf,detected_category
Liquid Fossils (Oil),55.70,57.89,3.9%,55.7,57.89,3.9,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_006_p9.csv,coal
Solid Fossils (Coal),90.15,97.10,7.7%,90.15,97.1,7.7,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_006_p9.csv,coal
Gaseous Fossil (Natural Gas),5.90,7.14,21.0%,5.9,7.14,21.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_006_p9.csv,coal
TOTAL,151.75,162.13,6.8%,151.75,162.13,6.8,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_006_p9.csv,coal
