unnamed_0,2023,2024,gr,2023_numeric,2024_numeric,gr_numeric,gr_unit,source_pdf,detected_category
Non-Energy Use,"1,397","1,528",9.4%,1397.0,1528.0,9.4,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_014_p16.csv,coal
Oil,"1,317","1,445",9.7%,1317.0,1445.0,9.7,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_014_p16.csv,coal
Coal,80,83,3.4%,80.0,83.0,3.4,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_014_p16.csv,coal
Total Energy,"37,019","38,898",5.1%,37019.0,38898.0,5.1,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_014_p16.csv,coal
