Year,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Luzon,37535,39854,40627,41241,43620,44200,44975,50265,50017,52312,54820,56766,60113,66498,68512,72728,76177,72419,75243,79821,83290,90269
Visayas,8842,9016,8698,8129,8102,8650,8724,9075,10456,11483,11100,11014,12170,12955,14054,14266,16060,15485,16268,16222,18163,16099
Mindanao,6564,7087,7243,7414,7890,7972,8235,8403,8703,9127,9347,9481,10130,11345,11804,12770,13805,13852,14604,15473,16551,20572
Total Gross Generation,52941,55957,56568,56784,59612,60821,61934,67743,69176,72922,75266,77261,82413,90798,94370,99765,106041,101756,106115,111516,118004,126941
