Category,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Residential,15357,15920,16031,15830,16376,16644,17504,18833,18694,19695,20614,20969,22747,25631,26782,28261,30552,34292,34981,35324,36968,41205
Commercial,11106,11785,12245,12679,13470,14136,14756,16261,16624,17777,18304,18761,20085,21770,22768,24016,25476,20727,21119,24294,26236,28033
Industrial,15188,15012,15705,15888,16522,17031,17084,18576,19334,20071,20677,21429,22514,24117,25573,27587,28194,25566,27623,28844,29493,31074
Others,1069,1359,1177,1275,1641,1395,1523,1596,1446,1668,1971,2186,2462,2634,2670,2753,2897,2658,3695,2871,3112,3596
Electricity Sales,42720,44076,45159,45672,48009,49206,50868,55266,56098,59211,61566,63345,67808,74153,77793,82617,87118,83243,87417,91333,95808,103908
Utilities Own Use,3410,4654,4591,4227,3994,3935,3524,4677,5398,5351,5959,6461,7124,8357,8316,8141,8929,8771,8729,9490,10403,10558
System Losses,6810,7228,6817,6885,7608,7680,7542,7800,7680,8360,7741,7455,7481,8288,8262,9007,9994,9742,9968,10693,11793,12475
Total Electricity Consumption,52941,55957,56568,56784,59612,60821,61934,67743,69176,72922,75266,77261,82413,90798,94370,99765,106041,101756,106115,111516,118004,126941
