year,renewable_generation_gwh,ci_lower,ci_upper
2025,21780.599926695864,19223.04093313805,24338.158920253678
2026,21952.15245889083,18314.728977859402,25589.575939922255
2027,22123.65760967487,17643.79105236973,26603.52416698001
2028,22295.115392134347,17093.562545224595,27496.6682390441
2029,22466.525819352006,16619.16127117153,28313.89036753248
2030,22637.888904406977,16197.722414245982,29078.05539456797
