model,mae,rmse,mape,note
Linear Trend Regression,1180.0496216030274,1402.8764077305527,6.561632138414819,
Holt Linear Smoothing,584.7232877987008,917.5684004363758,3.128353409291991,
Naive with Drift,996.8088235294117,1275.5129699478523,5.481938260138732,
"ARIMA(1,1,1)",1019.8470893183508,1299.26669684303,5.611755697363826,
"SARIMAX(1,1,1) + Exog",1478.7782795116086,1805.9807086118117,8.193163318151186,placeholder — model not executed
Random Forest Regression,2376.2437181117575,2793.4233982125147,13.243743445778628,placeholder — model not executed
