municipality_id,avg_t2m,avg_t2m_max,avg_t2m_min,avg_rh2m,avg_prectotcorr,avg_ws10m,avg_allsky_sfc_sw_dwn,avg_cloud_amt,avg_surface_pressure,elevation
4969,26.00833333,32.38458333,21.10375,78.3765625,8.1490625,3.177395833,5.368598947,59.30210526,96.61979167,14
4970,24.6765625,30.23989583,19.856875,80.31197917,8.937708333,2.513229167,5.368598947,59.30210526,94.21375,534
4971,26.60104167,32.48,22.27052083,78.38645833,7.239895833,4.5615625,5.368598947,59.30210526,98.05052083,12
4972,24.6765625,30.23989583,19.856875,80.31197917,8.937708333,2.513229167,5.185797895,64.92347368,94.21375,90
4973,24.6765625,30.23989583,19.856875,80.31197917,8.937708333,2.513229167,5.185797895,64.92347368,94.21375,95
4974,24.6765625,30.23989583,19.856875,80.31197917,8.937708333,2.513229167,5.185797895,64.92347368,94.21375,9
4975,26.00833333,32.38458333,21.10375,78.3765625,8.1490625,3.177395833,5.368598947,59.30210526,96.61979167,20
4976,23.42135417,29.80614583,17.68697917,84.7509375,9.006041667,2.283020833,5.185797895,64.92347368,93.12854167,16
4977,23.42135417,29.80614583,17.68697917,84.7509375,9.006041667,2.283020833,5.185797895,64.92347368,93.12854167,14
4978,23.42135417,29.80614583,17.68697917,84.7509375,9.006041667,2.283020833,5.185797895,64.92347368,93.12854167,10
4979,23.42135417,29.80614583,17.68697917,84.7509375,9.006041667,2.283020833,5.185797895,64.92347368,93.12854167,64
4980,24.6765625,30.23989583,19.856875,80.31197917,8.937708333,2.513229167,5.185797895,64.92347368,94.21375,13
4981,24.6765625,30.23989583,19.856875,80.31197917,8.937708333,2.513229167,5.185797895,64.92347368,94.21375,8
4982,23.42135417,29.80614583,17.68697917,84.7509375,9.006041667,2.283020833,5.185797895,64.92347368,93.12854167,10
4983,23.42135417,29.80614583,17.68697917,84.7509375,9.006041667,2.283020833,5.185797895,64.92347368,93.12854167,301
4984,23.42135417,29.80614583,17.68697917,84.7509375,9.006041667,2.283020833,5.185797895,64.92347368,93.12854167,11
4985,23.42135417,29.80614583,17.68697917,84.7509375,9.006041667,2.283020833,5.185797895,64.92347368,93.12854167,8
4986,24.6765625,30.23989583,19.856875,80.31197917,8.937708333,2.513229167,5.185797895,64.92347368,94.21375,10
4987,23.42135417,29.80614583,17.68697917,84.7509375,9.006041667,2.283020833,5.185797895,64.92347368,93.12854167,24
4988,23.42135417,29.80614583,17.68697917,84.7509375,9.006041667,2.283020833,5.185797895,64.92347368,93.12854167,60
4989,26.4528125,33.08395833,20.88010417,80.846875,8.0234375,2.158958333,5.185797895,64.92347368,98.32864583,129
4990,23.42135417,29.80614583,17.68697917,84.7509375,9.006041667,2.283020833,5.185797895,64.92347368,93.12854167,20
4991,23.42135417,29.80614583,17.68697917,84.7509375,9.006041667,2.283020833,5.185797895,64.92347368,93.12854167,7
4992,23.42135417,29.80614583,17.68697917,84.7509375,9.006041667,2.283020833,5.185797895,64.92347368,93.12854167,4
4993,24.6765625,30.23989583,19.856875,80.31197917,8.937708333,2.513229167,5.185797895,64.92347368,94.21375,83
4994,24.6765625,30.23989583,19.856875,80.31197917,8.937708333,2.513229167,5.185797895,64.92347368,94.21375,17
4995,23.42135417,29.80614583,17.68697917,84.7509375,9.006041667,2.283020833,5.185797895,64.92347368,93.12854167,28
4996,27.2684375,32.116875,23.0665625,79.7353125,8.356666667,2.967083333,5.422156842,62.84084211,99.38072917,6
4997,27.2684375,32.116875,23.0665625,79.7353125,8.356666667,2.967083333,5.123602105,67.46084211,99.38072917,9
4998,27.2684375,32.116875,23.0665625,79.7353125,8.356666667,2.967083333,5.422156842,62.84084211,99.38072917,23
4999,26.4528125,33.08395833,20.88010417,80.846875,8.0234375,2.158958333,5.123602105,67.46084211,98.32864583,22
5000,28.57427083,30.6940625,26.46072917,77.78,8.6971875,3.73875,5.422156842,62.84084211,100.9242708,27
5001,26.4528125,33.08395833,20.88010417,80.846875,8.0234375,2.158958333,5.185797895,64.92347368,98.32864583,48
5002,26.4528125,33.08395833,20.88010417,80.846875,8.0234375,2.158958333,5.123602105,67.46084211,98.32864583,47
5003,27.2684375,32.116875,23.0665625,79.7353125,8.356666667,2.967083333,5.422156842,62.84084211,99.38072917,8
5004,26.4528125,33.08395833,20.88010417,80.846875,8.0234375,2.158958333,5.123602105,67.46084211,98.32864583,12
5005,26.4528125,33.08395833,20.88010417,80.846875,8.0234375,2.158958333,5.123602105,67.46084211,98.32864583,20
5006,26.4528125,33.08395833,20.88010417,80.846875,8.0234375,2.158958333,5.123602105,67.46084211,98.32864583,20
5007,26.4528125,33.08395833,20.88010417,80.846875,8.0234375,2.158958333,5.185797895,64.92347368,98.32864583,44
5008,27.2684375,32.116875,23.0665625,79.7353125,8.356666667,2.967083333,5.185797895,64.92347368,99.38072917,5
5009,28.57427083,30.6940625,26.46072917,77.78,8.6971875,3.73875,5.422156842,62.84084211,100.9242708,5
5010,27.2684375,32.116875,23.0665625,79.7353125,8.356666667,2.967083333,5.123602105,67.46084211,99.38072917,8
5011,27.2684375,32.116875,23.0665625,79.7353125,8.356666667,2.967083333,5.422156842,62.84084211,99.38072917,86
5012,26.4528125,33.08395833,20.88010417,80.846875,8.0234375,2.158958333,5.185797895,64.92347368,98.32864583,7
5013,26.4528125,33.08395833,20.88010417,80.846875,8.0234375,2.158958333,5.185797895,64.92347368,98.32864583,5
5014,27.2684375,32.116875,23.0665625,79.7353125,8.356666667,2.967083333,5.423592632,67.89063158,99.38072917,17
5015,27.2684375,32.116875,23.0665625,79.7353125,8.356666667,2.967083333,5.423592632,67.89063158,99.38072917,6
5016,27.2684375,32.116875,23.0665625,79.7353125,8.356666667,2.967083333,5.185797895,64.92347368,99.38072917,5
5017,26.4528125,33.08395833,20.88010417,80.846875,8.0234375,2.158958333,5.185797895,64.92347368,98.32864583,34
5018,27.2684375,32.116875,23.0665625,79.7353125,8.356666667,2.967083333,5.185797895,64.92347368,99.38072917,4
5019,27.2684375,32.116875,23.0665625,79.7353125,8.356666667,2.967083333,5.422156842,62.84084211,99.38072917,14
5020,26.4528125,33.08395833,20.88010417,80.846875,8.0234375,2.158958333,5.123602105,67.46084211,98.32864583,14
5021,26.4528125,33.08395833,20.88010417,80.846875,8.0234375,2.158958333,5.185797895,64.92347368,98.32864583,23
5022,26.4528125,33.08395833,20.88010417,80.846875,8.0234375,2.158958333,5.185797895,64.92347368,98.32864583,9
5023,27.2684375,32.116875,23.0665625,79.7353125,8.356666667,2.967083333,5.123602105,67.46084211,99.38072917,17
5024,26.4528125,33.08395833,20.88010417,80.846875,8.0234375,2.158958333,5.185797895,64.92347368,98.32864583,15
5025,26.4528125,33.08395833,20.88010417,80.846875,8.0234375,2.158958333,5.185797895,64.92347368,98.32864583,87
5026,26.4528125,33.08395833,20.88010417,80.846875,8.0234375,2.158958333,5.185797895,64.92347368,98.32864583,56
5027,26.4528125,33.08395833,20.88010417,80.846875,8.0234375,2.158958333,5.123602105,67.46084211,98.32864583,34
5028,26.4528125,33.08395833,20.88010417,80.846875,8.0234375,2.158958333,5.123602105,67.46084211,98.32864583,9
5029,26.4528125,33.08395833,20.88010417,80.846875,8.0234375,2.158958333,5.185797895,64.92347368,98.32864583,7
5030,26.4528125,33.08395833,20.88010417,80.846875,8.0234375,2.158958333,5.185797895,64.92347368,98.32864583,11
5031,26.4528125,33.08395833,20.88010417,80.846875,8.0234375,2.158958333,5.185797895,64.92347368,98.32864583,65
5032,26.4528125,33.08395833,20.88010417,80.846875,8.0234375,2.158958333,5.185797895,64.92347368,98.32864583,86
5033,26.4528125,33.08395833,20.88010417,80.846875,8.0234375,2.158958333,5.123602105,67.46084211,98.32864583,105
5034,26.4528125,33.08395833,20.88010417,80.846875,8.0234375,2.158958333,5.123602105,67.46084211,98.32864583,8
5035,26.4528125,33.08395833,20.88010417,80.846875,8.0234375,2.158958333,5.123602105,67.46084211,98.32864583,45
5036,26.4528125,33.08395833,20.88010417,80.846875,8.0234375,2.158958333,5.123602105,67.46084211,98.32864583,27
5037,26.4528125,33.08395833,20.88010417,80.846875,8.0234375,2.158958333,5.185797895,64.92347368,98.32864583,108
5038,27.2684375,32.116875,23.0665625,79.7353125,8.356666667,2.967083333,5.185797895,64.92347368,99.38072917,6
5039,26.4528125,33.08395833,20.88010417,80.846875,8.0234375,2.158958333,5.185797895,64.92347368,98.32864583,63
5040,26.4528125,33.08395833,20.88010417,80.846875,8.0234375,2.158958333,5.123602105,67.46084211,98.32864583,106
5041,26.4528125,33.08395833,20.88010417,80.846875,8.0234375,2.158958333,5.123602105,67.46084211,98.32864583,10
5042,26.4528125,33.08395833,20.88010417,80.846875,8.0234375,2.158958333,5.123602105,67.46084211,98.32864583,29
5043,26.4528125,33.08395833,20.88010417,80.846875,8.0234375,2.158958333,5.123602105,67.46084211,98.32864583,28
5044,27.02635417,28.66979167,24.7815625,81.64489583,5.281145833,7.206354167,4.901937895,70.74347368,101.1047917,15
5045,26.785625,28.36583333,24.51947917,82.00583333,4.910416667,7.2721875,4.901937895,70.74347368,101.1738542,93
5046,27.02635417,28.66979167,24.7815625,81.64489583,5.281145833,7.206354167,4.901937895,70.74347368,101.1047917,6
5047,27.02635417,28.66979167,24.7815625,81.64489583,5.281145833,7.206354167,4.901937895,70.74347368,101.1047917,9
5048,27.02635417,28.66979167,24.7815625,81.64489583,5.281145833,7.206354167,4.901937895,70.74347368,101.1047917,10
5049,27.02635417,28.66979167,24.7815625,81.64489583,5.281145833,7.206354167,4.901937895,70.74347368,101.1047917,15
5050,26.48322917,33.183125,22.44677083,83.07802083,8.83375,3.111354167,4.883813684,66.07442105,99.723125,8
5051,26.30114583,33.9040625,21.52302083,82.24770833,7.590625,2.521354167,4.846844211,69.33757895,99.39302083,35
5052,24.75739583,33.59229167,18.72552083,83.63041667,7.571041667,2.2221875,4.883813684,66.07442105,96.55958333,9
5053,26.30114583,33.9040625,21.52302083,82.24770833,7.590625,2.521354167,4.846844211,69.33757895,99.39302083,23
5054,27.29770833,30.83104167,24.64979167,80.94989583,8.227395833,4.77875,4.883813684,66.07442105,100.6426042,5
5055,26.30114583,33.9040625,21.52302083,82.24770833,7.590625,2.521354167,4.846844211,69.33757895,99.39302083,23
5056,26.48322917,33.183125,22.44677083,83.07802083,8.83375,3.111354167,4.883813684,66.07442105,99.723125,9
5057,27.29770833,30.83104167,24.64979167,80.94989583,8.227395833,4.77875,4.883813684,66.07442105,100.6426042,7
5058,27.3946875,28.950625,25.35552083,81.49708333,7.069479167,7.009270833,5.001296842,67.70463158,101.0486458,6
5059,27.29770833,30.83104167,24.64979167,80.94989583,8.227395833,4.77875,4.883813684,66.07442105,100.6426042,8
5060,26.48322917,33.183125,22.44677083,83.07802083,8.83375,3.111354167,4.883813684,66.07442105,99.723125,7
5061,25.5690625,32.5578125,20.38125,83.0625,7.842083333,2.9890625,4.846844211,69.33757895,98.04364583,25
5062,26.30114583,33.9040625,21.52302083,82.24770833,7.590625,2.521354167,4.883813684,66.07442105,99.39302083,4
5063,27.29770833,30.83104167,24.64979167,80.94989583,8.227395833,4.77875,4.883813684,66.07442105,100.6426042,20
5064,26.30114583,33.9040625,21.52302083,82.24770833,7.590625,2.521354167,4.846844211,69.33757895,99.39302083,35
5065,26.30114583,33.9040625,21.52302083,82.24770833,7.590625,2.521354167,4.883813684,66.07442105,99.39302083,10
5066,26.30114583,33.9040625,21.52302083,82.24770833,7.590625,2.521354167,4.883813684,66.07442105,99.39302083,14
5067,26.48322917,33.183125,22.44677083,83.07802083,8.83375,3.111354167,4.883813684,66.07442105,99.723125,11
5068,25.5690625,32.5578125,20.38125,83.0625,7.842083333,2.9890625,4.846844211,69.33757895,98.04364583,49
5069,24.75739583,33.59229167,18.72552083,83.63041667,7.571041667,2.2221875,4.846844211,69.33757895,96.55958333,61
5070,24.75739583,33.59229167,18.72552083,83.63041667,7.571041667,2.2221875,4.846844211,69.33757895,96.55958333,95
5071,26.48322917,33.183125,22.44677083,83.07802083,8.83375,3.111354167,4.883813684,66.07442105,99.723125,8
5072,27.29770833,30.83104167,24.64979167,80.94989583,8.227395833,4.77875,4.887502105,71.69326316,100.6426042,6
5073,26.48322917,33.183125,22.44677083,83.07802083,8.83375,3.111354167,5.248924211,62.88010526,99.723125,60
5074,26.30114583,33.9040625,21.52302083,82.24770833,7.590625,2.521354167,4.883813684,66.07442105,99.39302083,6
5075,26.30114583,33.9040625,21.52302083,82.24770833,7.590625,2.521354167,4.846844211,69.33757895,99.39302083,24
5076,25.5690625,32.5578125,20.38125,83.0625,7.842083333,2.9890625,4.846844211,69.33757895,98.04364583,23
5077,23.83135417,31.80729167,17.95791667,84.27177083,7.906666667,2.361979167,4.846844211,69.33757895,94.565625,39
5078,25.5690625,32.5578125,20.38125,83.0625,7.842083333,2.9890625,4.846844211,69.33757895,98.04364583,29
5079,26.2903125,33.4734375,20.83864583,82.89479167,8.210416667,2.759375,4.828229474,72.14473684,99.53041667,73
5080,26.2903125,33.4734375,20.83864583,82.89479167,8.210416667,2.759375,4.828229474,72.14473684,99.53041667,59
5081,26.2903125,33.4734375,20.83864583,82.89479167,8.210416667,2.759375,4.828229474,72.14473684,99.53041667,61
5082,26.2903125,33.4734375,20.83864583,82.89479167,8.210416667,2.759375,4.828229474,72.14473684,99.53041667,115
5083,26.2903125,33.4734375,20.83864583,82.89479167,8.210416667,2.759375,4.846844211,69.33757895,99.53041667,55
5084,25.5690625,32.5578125,20.38125,83.0625,7.842083333,2.9890625,4.846844211,69.33757895,98.04364583,30
5085,26.2903125,33.4734375,20.83864583,82.89479167,8.210416667,2.759375,4.828229474,72.14473684,99.53041667,61
5086,26.2903125,33.4734375,20.83864583,82.89479167,8.210416667,2.759375,4.828229474,72.14473684,99.53041667,58
5087,22.70760417,30.52458333,17.06229167,86.87697917,8.795416667,2.071770833,4.828229474,72.14473684,92.72958333,84
5088,22.70760417,30.52458333,17.06229167,86.87697917,8.795416667,2.071770833,4.828229474,72.14473684,92.72958333,114
5089,25.5690625,32.5578125,20.38125,83.0625,7.842083333,2.9890625,4.846844211,69.33757895,98.04364583,39
5090,26.96260417,29.29322917,24.85,82.4615625,6.520729167,5.241041667,4.846255789,70.84263158,99.43677083,10
5091,27.17854167,29.4665625,25.10260417,81.67322917,7.429583333,5.173645833,4.666529474,73.81610526,99.91927083,6
5092,25.2671875,32.59989583,20.35010417,85.2403125,8.428854167,2.249895833,4.828229474,72.14473684,97.73104167,72
5093,26.2903125,33.4734375,20.83864583,82.89479167,8.210416667,2.759375,4.846844211,69.33757895,99.53041667,48
5094,26.2903125,33.4734375,20.83864583,82.89479167,8.210416667,2.759375,4.846844211,69.33757895,99.53041667,50
5095,25.2671875,32.59989583,20.35010417,85.2403125,8.428854167,2.249895833,4.828229474,72.14473684,97.73104167,96
5096,26.2903125,33.4734375,20.83864583,82.89479167,8.210416667,2.759375,4.828229474,72.14473684,99.53041667,57
5097,27.17854167,29.4665625,25.10260417,81.67322917,7.429583333,5.173645833,4.666529474,73.81610526,99.91927083,5
5098,26.2903125,33.4734375,20.83864583,82.89479167,8.210416667,2.759375,4.846844211,69.33757895,99.53041667,60
5099,26.2903125,33.4734375,20.83864583,82.89479167,8.210416667,2.759375,4.846844211,69.33757895,99.53041667,48
5100,26.73072917,29.7453125,24.284375,82.38645833,6.936145833,4.949583333,4.666529474,73.81610526,99.30864583,10
5101,25.5690625,32.5578125,20.38125,83.0625,7.842083333,2.9890625,4.846844211,69.33757895,98.04364583,113
5102,26.2903125,33.4734375,20.83864583,82.89479167,8.210416667,2.759375,4.846844211,69.33757895,99.53041667,56
5103,23.19302083,30.77916667,17.39375,85.75510417,8.583125,2.176354167,4.828229474,72.14473684,93.4665625,105
5104,26.2903125,33.4734375,20.83864583,82.89479167,8.210416667,2.759375,4.828229474,72.14473684,99.53041667,45
5105,26.2903125,33.4734375,20.83864583,82.89479167,8.210416667,2.759375,4.846844211,69.33757895,99.53041667,61
5106,25.2671875,32.59989583,20.35010417,85.2403125,8.428854167,2.249895833,4.828229474,72.14473684,97.73104167,104
5107,25.2671875,32.59989583,20.35010417,85.2403125,8.428854167,2.249895833,4.828229474,72.14473684,97.73104167,109
5108,25.2671875,32.59989583,20.35010417,85.2403125,8.428854167,2.249895833,4.828229474,72.14473684,97.73104167,77
5109,26.2903125,33.4734375,20.83864583,82.89479167,8.210416667,2.759375,4.846844211,69.33757895,99.53041667,65
5110,26.2903125,33.4734375,20.83864583,82.89479167,8.210416667,2.759375,4.846255789,70.84263158,99.53041667,64
5111,26.2903125,33.4734375,20.83864583,82.89479167,8.210416667,2.759375,4.828229474,72.14473684,99.53041667,81
5112,25.5690625,32.5578125,20.38125,83.0625,7.842083333,2.9890625,4.846844211,69.33757895,98.04364583,38
5113,25.5690625,32.5578125,20.38125,83.0625,7.842083333,2.9890625,4.846844211,69.33757895,98.04364583,29
5114,25.5690625,32.5578125,20.38125,83.0625,7.842083333,2.9890625,4.846844211,69.33757895,98.04364583,31
5115,25.5690625,32.5578125,20.38125,83.0625,7.842083333,2.9890625,4.846844211,69.33757895,98.04364583,36
5116,23.30010417,30.915,18.11322917,86.81,7.425104167,2.207395833,4.803714737,73.24557895,93.7565625,311
5117,22.70760417,30.52458333,17.06229167,86.87697917,8.795416667,2.071770833,4.828229474,72.14473684,92.72958333,1196
5118,22.70760417,30.52458333,17.06229167,86.87697917,8.795416667,2.071770833,4.828229474,72.14473684,92.72958333,387
5119,22.70760417,30.52458333,17.06229167,86.87697917,8.795416667,2.071770833,4.828229474,72.14473684,92.72958333,224
5120,22.70760417,30.52458333,17.06229167,86.87697917,8.795416667,2.071770833,4.828229474,72.14473684,92.72958333,325
5121,22.70760417,30.52458333,17.06229167,86.87697917,8.795416667,2.071770833,4.828229474,72.14473684,92.72958333,276
5122,22.70760417,30.52458333,17.06229167,86.87697917,8.795416667,2.071770833,4.828229474,72.14473684,92.72958333,226
5123,22.70760417,30.52458333,17.06229167,86.87697917,8.795416667,2.071770833,4.828229474,72.14473684,92.72958333,359
5124,22.70760417,30.52458333,17.06229167,86.87697917,8.795416667,2.071770833,4.828229474,72.14473684,92.72958333,370
5125,22.70760417,30.52458333,17.06229167,86.87697917,8.795416667,2.071770833,4.828229474,72.14473684,92.72958333,718
5126,23.42135417,29.80614583,17.68697917,84.7509375,9.006041667,2.283020833,5.185797895,64.92347368,93.12854167,1104
5127,22.70760417,30.52458333,17.06229167,86.87697917,8.795416667,2.071770833,4.828229474,72.14473684,92.72958333,261
5128,23.30010417,30.915,18.11322917,86.81,7.425104167,2.207395833,5.185797895,64.92347368,93.7565625,594
5129,22.70760417,30.52458333,17.06229167,86.87697917,8.795416667,2.071770833,4.828229474,72.14473684,92.72958333,259
5130,22.70760417,30.52458333,17.06229167,86.87697917,8.795416667,2.071770833,4.828229474,72.14473684,92.72958333,238
5131,25.2671875,32.59989583,20.35010417,85.2403125,8.428854167,2.249895833,4.828229474,72.14473684,97.73104167,155
5132,22.70760417,30.52458333,17.06229167,86.87697917,8.795416667,2.071770833,4.828229474,72.14473684,92.72958333,114
5133,22.70760417,30.52458333,17.06229167,86.87697917,8.795416667,2.071770833,4.828229474,72.14473684,92.72958333,136
5134,25.2671875,32.59989583,20.35010417,85.2403125,8.428854167,2.249895833,4.828229474,72.14473684,97.73104167,152
5135,26.72479167,30.470625,24.02145833,82.30395833,7.317916667,3.820208333,4.828229474,72.14473684,99.06958333,195
5136,25.2671875,32.59989583,20.35010417,85.2403125,8.428854167,2.249895833,4.828229474,72.14473684,97.73104167,102
5137,26.72479167,30.470625,24.02145833,82.30395833,7.317916667,3.820208333,4.803714737,73.24557895,99.06958333,7
5138,25.2671875,32.59989583,20.35010417,85.2403125,8.428854167,2.249895833,4.846255789,70.84263158,97.73104167,7
5139,26.96260417,29.29322917,24.85,82.4615625,6.520729167,5.241041667,4.846255789,70.84263158,99.43677083,7
5140,26.72479167,30.470625,24.02145833,82.30395833,7.317916667,3.820208333,4.828229474,72.14473684,99.06958333,8
5141,25.57166667,32.13677083,21.25083333,85.18979167,7.699375,2.736979167,4.803714737,73.24557895,97.860625,32
5142,23.30010417,30.915,18.11322917,86.81,7.425104167,2.207395833,4.803714737,73.24557895,93.7565625,9
5143,23.30010417,30.915,18.11322917,86.81,7.425104167,2.207395833,4.803714737,73.24557895,93.7565625,34
5144,25.57166667,32.13677083,21.25083333,85.18979167,7.699375,2.736979167,4.803714737,73.24557895,97.860625,23
5145,27.68520833,31.75,24.42989583,80.21395833,7.524166667,4.4434375,5.156048421,66.77442105,99.97895833,4
