technology,grid_connection,year,generation_gwh
Total renewable,Off-grid,2012,104.59
Total renewable,Off-grid,2013,121.1
Total renewable,Off-grid,2014,117.33
Total renewable,Off-grid,2015,129.84
Total renewable,Off-grid,2016,126.72
Total renewable,Off-grid,2017,135.44
Total renewable,Off-grid,2018,168.35
Total renewable,Off-grid,2019,203.22
Total renewable,Off-grid,2020,194.0
Total renewable,Off-grid,2021,207.99
Total renewable,Off-grid,2022,270.57
Total renewable,Off-grid,2023,287.35
Total renewable,On-grid,2000,18937.71
Total renewable,On-grid,2001,17051.19
Total renewable,On-grid,2002,16772.94
Total renewable,On-grid,2003,17180.97
Total renewable,On-grid,2004,17934.29
Total renewable,On-grid,2005,17476.91
Total renewable,On-grid,2006,19592.14
Total renewable,On-grid,2007,18066.56
Total renewable,On-grid,2008,20417.77
Total renewable,On-grid,2009,19645.43
Total renewable,On-grid,2010,17324.34
Total renewable,On-grid,2011,19573.22
Total renewable,On-grid,2012,20349.78
Total renewable,On-grid,2013,19370.01
Total renewable,On-grid,2014,19097.68
Total renewable,On-grid,2015,20196.9
Total renewable,On-grid,2016,21219.4
Total renewable,On-grid,2017,22423.1
Total renewable,On-grid,2018,22535.82
Total renewable,On-grid,2019,21234.87
Total renewable,On-grid,2020,20820.69
Total renewable,On-grid,2021,22714.67
Total renewable,On-grid,2022,24032.69
Total renewable,On-grid,2023,25662.58
