lat,lon,heat_flow_mw_m2,elevation,environment
3.573695,112.92807,58.79430554,-23.0,[offshore (continental)]
3.584068,112.84988,62.54748677,-27.0,[offshore (continental)]
3.587478,112.39386,69.32424274,-32.0,[offshore (continental)]
3.5883,112.423,94.0,-37.4,[offshore (continental)]
3.588935,112.95142,62.90097206,-33.0,[offshore (continental)]
3.592126,112.97337,54.245796,-34.0,[offshore (continental)]
3.595443,112.40611,74.32095089,-34.0,[offshore (continental)]
3.595655,112.38552,71.4643182,-32.0,[offshore (continental)]
3.595818,112.94209,37.26097816,-25.0,[offshore (continental)]
3.598625,112.36274,64.3291752,-34.0,[offshore (continental)]
3.605301,112.41562,78.923313,-34.0,[offshore (continental)]
3.622832,113.0422,59.05145092,-21.0,[offshore (continental)]
3.631431,112.69173,59.70994612,-35.0,[offshore (continental)]
3.641103,112.69837,62.78766298,-34.0,[offshore (continental)]
3.66389,117.34222,75.7,,[onshore (continental)]
3.66475,111.49706,70.7478821,-52.0,[offshore (continental)]
3.668618,111.60902,66.06040914,-48.0,[offshore (continental)]
3.671278,111.02169,85.30723937,-59.0,[offshore (continental)]
3.689569,111.31416,76.91,-57.0,[offshore (continental)]
3.689569,111.31416,76.91,-57.0,[offshore (continental)]
3.704638,112.2263,66.1399776,-47.0,[offshore (continental)]
3.704791,111.91457,62.95434529,-41.0,[offshore (continental)]
3.71748,111.83199,65.8235281,-45.0,[offshore (continental)]
3.7181,111.8286,100.0,0.0,[offshore (continental)]
3.7183,111.828,101.0,-42.2,[offshore (continental)]
3.727023,111.61992,70.42967451,-48.0,[offshore (continental)]
3.739432,113.42403,54.38027608,0.0,[onshore (continental)]
3.744554,111.97111,62.4083873,-49.0,[offshore (continental)]
3.749456,111.96355,54.19446744,-49.0,[offshore (continental)]
3.75409,111.60569,62.69,-53.0,[offshore (continental)]
3.75409,111.60569,62.69,-53.0,[offshore (continental)]
3.754126,111.75144,68.14140352,-50.0,[offshore (continental)]
3.755,111.602,93.0,-52.8,[offshore (continental)]
3.756709,112.06855,57.56526976,-46.0,[offshore (continental)]
3.759202,112.14178,67.94249897,-42.0,[offshore (continental)]
3.760799,111.61775,57.68587777,-52.0,[offshore (continental)]
3.76139,117.53167,74.0,,[onshore (continental)]
3.764599,111.60338,61.37,-54.0,[offshore (continental)]
3.764599,111.60338,61.37,-54.0,[offshore (continental)]
3.764991,112.08971,70.02241619,-44.0,[offshore (continental)]
3.767409,113.29986,56.98997094,-26.0,[offshore (continental)]
3.7717,111.427,101.0,-58.0,[offshore (continental)]
3.77172,111.43119,65.50377136,-55.0,[offshore (continental)]
3.77276,112.24975,63.44444792,-46.0,[offshore (continental)]
3.775005,112.06249,68.58974678,-47.0,[offshore (continental)]
3.777792,113.75841,61.13454939,0.0,[onshore (continental)]
3.782661,111.6016,60.87302715,-55.0,[offshore (continental)]
3.78639,118.11139,64.0,,[offshore (continental)]
3.78889,117.91861,72.7,,[offshore (continental)]
3.800445,113.14227,50.68572929,-23.0,[offshore (continental)]
3.803018,111.4971,66.8,-56.0,[offshore (continental)]
3.803018,111.4971,66.8,-56.0,[offshore (continental)]
3.807096,112.28459,66.24510663,-41.0,[offshore (continental)]
3.822978,112.26378,68.99390581,-45.0,[offshore (continental)]
3.8233,112.26,85.0,-41.8,[offshore (continental)]
3.831327,112.17379,77.0319,-47.0,[offshore (continental)]
3.832484,112.16093,66.2483048,-50.0,[offshore (continental)]
3.837009,112.06151,69.6176262,-49.0,[offshore (continental)]
3.841723,112.14494,62.1,-51.0,[offshore (continental)]
3.841723,112.14494,62.1,-51.0,[offshore (continental)]
3.842922,111.74849,68.63378573,-55.0,[offshore (continental)]
3.85,122.417,69.3,-4935.0,[offshore (continental)]
3.851511,112.07201,62.21438455,-46.0,[offshore (continental)]
3.8517,112.068,79.0,-49.0,[offshore (continental)]
3.867148,111.46913,66.74414114,-62.0,[offshore (continental)]
3.8678,111.4656,116.0,0.0,[offshore (continental)]
3.8683,111.465,116.0,-56.4,[offshore (continental)]
3.86861,117.50472,75.7,,[onshore (continental)]
3.885769,112.88727,57.55287313,-45.0,[offshore (continental)]
3.887493,112.5251,72.76082566,-46.0,[offshore (continental)]
3.890309,111.9579,53.89354575,-47.0,[offshore (continental)]
3.898191,112.57872,71.26335292,-46.0,[offshore (continental)]
3.906353,113.19777,42.80641556,-24.0,[offshore (continental)]
3.909897,113.12231,62.04196627,-37.0,[offshore (continental)]
3.918137,112.25807,70.89281719,-50.0,[offshore (continental)]
3.927698,111.36451,74.18122344,-64.0,[offshore (continental)]
3.959215,111.30818,75.83012617,-68.0,[offshore (continental)]
3.964382,113.52725,54.91519605,-18.0,[offshore (continental)]
3.97,122.2333333,62.3863,-4965.0,[offshore (continental)]
