municipality_id,avg_t2m,avg_t2m_max,avg_t2m_min,avg_rh2m,avg_rhoa,avg_prectotcorr,avg_ws10m,avg_allsky_sfc_sw_dwn,avg_cloud_amt,avg_surface_pressure,elevation
5769,27.495416666666667,31.143124999999998,24.754791666666666,82.77270833333334,1.1513541666666665,6.144895833333333,4.00125,5.252634736842105,74.68157894736842,100.21468750000001,181
5770,27.951562499999998,30.08385416666667,25.983125,80.66364583333333,1.1515625,5.327708333333333,4.795416666666667,5.124571578947369,76.10252631578948,100.28479166666666,111
5771,27.951562499999998,30.08385416666667,25.983125,80.66364583333333,1.1515625,5.327708333333333,4.795416666666667,5.124571578947369,76.10252631578948,100.28479166666666,15
5772,27.495416666666667,31.143124999999998,24.754791666666666,82.77270833333334,1.1513541666666665,6.144895833333333,4.00125,5.126778947368421,76.06557894736842,100.21468750000001,10
5773,27.495416666666667,31.143124999999998,24.754791666666666,82.77270833333334,1.1513541666666665,6.144895833333333,4.00125,5.126778947368421,76.06557894736842,100.21468750000001,13
5774,27.520104166666666,30.871979166666666,24.885833333333334,81.91614583333333,1.1465625,5.943541666666667,4.196041666666667,5.124571578947369,76.10252631578948,99.85052083333333,6
5775,27.495416666666667,31.143124999999998,24.754791666666666,82.77270833333334,1.1513541666666665,6.144895833333333,4.00125,5.126778947368421,76.06557894736842,100.21468750000001,8
5776,27.657812500000002,29.680104166666666,25.753958333333333,81.75875,1.1511458333333333,5.347395833333334,5.121458333333334,5.252634736842105,74.68157894736842,100.10489583333333,7
5777,26.002291666666665,30.363958333333333,22.6834375,84.28479166666666,1.1269791666666666,6.591979166666667,3.9502083333333338,5.124571578947369,76.10252631578948,97.65489583333334,8
5778,27.951562499999998,30.08385416666667,25.983125,80.66364583333333,1.1515625,5.327708333333333,4.795416666666667,5.124571578947369,76.10252631578948,100.28479166666666,35
5779,26.559270833333333,30.82947916666667,23.373125,81.84833333333333,1.1313541666666664,5.1814583333333335,4.5809375,5.124571578947369,76.10252631578948,98.176875,0
5780,27.520104166666666,30.871979166666666,24.885833333333334,81.91614583333333,1.1465625,5.943541666666667,4.196041666666667,5.0526873684210525,73.8436842105263,99.85052083333333,7
5781,27.520104166666666,30.871979166666666,24.885833333333334,81.91614583333333,1.1465625,5.943541666666667,4.196041666666667,5.124571578947369,76.10252631578948,99.85052083333333,6
5782,27.379791666666666,30.7265625,24.791979166666668,83.09916666666668,1.1458333333333333,6.3429166666666665,4.0027083333333335,5.0526873684210525,73.8436842105263,99.8221875,8
5783,26.002291666666665,30.363958333333333,22.6834375,84.28479166666666,1.1269791666666666,6.591979166666667,3.9502083333333338,5.124571578947369,76.10252631578948,97.65489583333334,21
5784,27.379791666666666,30.7265625,24.791979166666668,83.09916666666668,1.1458333333333333,6.3429166666666665,4.0027083333333335,5.0526873684210525,73.8436842105263,99.8221875,4
5785,28.140937500000003,30.421354166666664,26.2,81.59791666666666,1.1538541666666666,6.5575,4.5715625,5.264636842105263,77.99389473684211,100.75885416666667,7
5786,27.520104166666666,30.871979166666666,24.885833333333334,81.91614583333333,1.1465625,5.943541666666667,4.196041666666667,5.0526873684210525,73.8436842105263,99.85052083333333,10
5787,28.140937500000003,30.421354166666664,26.2,81.59791666666666,1.1538541666666666,6.5575,4.5715625,5.046026315789474,77.4598947368421,100.75885416666667,7
5788,27.951562499999998,30.08385416666667,25.983125,80.66364583333333,1.1515625,5.327708333333333,4.795416666666667,5.124571578947369,76.10252631578948,100.28479166666666,4
5789,28.140937500000003,30.421354166666664,26.2,81.59791666666666,1.1538541666666666,6.5575,4.5715625,5.126778947368421,76.06557894736842,100.75885416666667,17
5790,27.520104166666666,30.871979166666666,24.885833333333334,81.91614583333333,1.1465625,5.943541666666667,4.196041666666667,5.0526873684210525,73.8436842105263,99.85052083333333,23
5791,27.379791666666666,30.7265625,24.791979166666668,83.09916666666668,1.1458333333333333,6.3429166666666665,4.0027083333333335,5.126778947368421,76.06557894736842,99.8221875,7
