unnamed_0,2023,2024,gr,2023_numeric,2024_numeric,gr_numeric,gr_unit,source_pdf,detected_category
Semirara,"14,917.6","14,917.5",0.0%,14917.6,14917.5,0.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_029_p32.csv,general
Zamboanga,1.0,18.6,1782.8%,1.0,18.6,1782.8,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_029_p32.csv,general
Cebu,3.8,4.2,11.4%,3.8,4.2,11.4,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_029_p32.csv,general
"Albay, Bicol",10.0,6.2,-38.0%,10.0,6.2,-38.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_029_p32.csv,general
Negros,0.9,2.2,160.1%,0.9,2.2,160.1,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_029_p32.csv,general
South Cotabato,228.7,851.4,272.3%,228.7,851.4,272.3,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_029_p32.csv,general
Small-scale Mines,93.2,117.3,25.9%,93.2,117.3,25.9,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_029_p32.csv,general
Total Production,"15,255","15,918",4.3%,15255.0,15918.0,4.3,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_029_p32.csv,general
Run of Mine (MMT),"16,509","17,661",7.0%,16509.0,17661.0,7.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_029_p32.csv,general
