source,2023,2024,gr,2023_numeric,2024_numeric,gr_numeric,gr_unit,source_pdf,detected_category
OTHER ASIA,"71,140","86,402",21.5%,71140.0,86402.0,21.5,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_020_p23.csv,general
China,"31,470","32,945",,31470.0,32945.0,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_020_p23.csv,general
India,"1,950","4,365",,1950.0,4365.0,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_020_p23.csv,general
Japan,"4,137","3,920",,4137.0,3920.0,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_020_p23.csv,general
Russia,241,-,,241.0,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_020_p23.csv,general
South Korea,"29,780","38,754",,29780.0,38754.0,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_020_p23.csv,general
Taiwan,"3,560","6,418",,3560.0,6418.0,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_020_p23.csv,general
OTHERS*,"1,770",690,-61.0%,1770.0,690.0,-61.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_020_p23.csv,general
Total,"128,250","134,157",4.6%,128250.0,134157.0,4.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_020_p23.csv,general
