unnamed_0,2014,2015,2016,2017,2018,2019,2014_numeric,2015_numeric,2016_numeric,2017_numeric,2018_numeric,2019_numeric,source_pdf,detected_category
"GDP (in billion pesos: at constant
2018 prices)","14,096.0","14,990.9","16,062.7","17,176.0","18,265.2","19,382.8",14096.0,14990.9,16062.7,17176.0,18265.2,19382.8,2024_philippine_energy_situationer_and_key_energy_statistics_table_031_p40.csv,general
"Total Final Energy Consumption
(in MTOE)",28.5,31.0,33.5,35.5,35.7,36.3,28.5,31.0,33.5,35.5,35.7,36.3,2024_philippine_energy_situationer_and_key_energy_statistics_table_031_p40.csv,general
"Total Primary Energy Supply
(in MTOE)",46.4,50.8,54.1,57.5,59.2,59.3,46.4,50.8,54.1,57.5,59.2,59.3,2024_philippine_energy_situationer_and_key_energy_statistics_table_031_p40.csv,general
Population (in million),99.9,100.8,102.5,104.2,105.8,107.3,99.9,100.8,102.5,104.2,105.8,107.3,2024_philippine_energy_situationer_and_key_energy_statistics_table_031_p40.csv,general
Forex (in Pesos/USD),44.6,47.2,49.8,49.9,52.7,50.7,44.6,47.2,49.8,49.9,52.7,50.7,2024_philippine_energy_situationer_and_key_energy_statistics_table_031_p40.csv,general
"Average Crude Price
(in USD / barrel)",97.0,50.9,42.2,54.2,69.4,66.8,97.0,50.9,42.2,54.2,69.4,66.8,2024_philippine_energy_situationer_and_key_energy_statistics_table_031_p40.csv,general
