hoeholds,11_5,11_5_numeric,11_5_unit,source_pdf,detected_category
Services,6.9%,6.9,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_111_p49.csv,general
Industrial,5.4%,5.4,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_111_p49.csv,general
Others*,15.6%,15.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_111_p49.csv,general
Utilities Own Use,1.5%,1.5,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_111_p49.csv,general
Power Losses,5.8%,5.8,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_111_p49.csv,general
Total,7.6%,7.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_111_p49.csv,general
"*
 
others includeTransport and Agriculture",,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_111_p49.csv,general
