installed_generationerating_capacity_megawatts,1_928,1_928_numeric,source_pdf,detected_category
Dependable Generating Capacity (MW),"1,792",1792.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_244_p67.csv,general
Electricity Generation (GWh),"10,691",10691.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_244_p67.csv,general
Installed Generating Capacity (MW),"1,952",1952.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_244_p67.csv,general
Dependable Generating Capacity (MW),"1,708",1708.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_244_p67.csv,general
Electricity Generation (GWh),"10,789",10789.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_244_p67.csv,general
