others_23_4,others_23_4_numeric,others_23_4_unit,source_pdf,detected_category
Singapore 4.2%,4.2,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_015_p21.csv,general
Saudi Arabia 7.1%,7.1,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_015_p21.csv,general
China 9.0%,9.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_015_p21.csv,general
South Korea 10.6%,10.6,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_015_p21.csv,general
Indonesia 45.7%,45.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_015_p21.csv,general
