country,2023,2024,gr,2023_numeric,2024_numeric,gr_numeric,gr_unit,source_pdf,detected_category
Indonesia,"34,822","40,139",15.3%,34822.0,40139.0,15.3,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_030_p34.csv,general
Australia,207,82,-60.6%,207.0,82.0,-60.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_030_p34.csv,general
China,0.35,0.33,-7.5%,0.35,0.33,-7.5,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_030_p34.csv,general
Vietnam,164,134,-18.4%,164.0,134.0,-18.4,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_030_p34.csv,general
Others*,341,1,-99.6%,341.0,1.0,-99.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_030_p34.csv,general
Total,"35,535","40,356",13.6%,35535.0,40356.0,13.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_030_p34.csv,general
