170_8,170_8_numeric,source_pdf,detected_category
10.0,10.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_010_p14.csv,general
61.9,61.9,2024_philippine_energy_situationer_and_key_energy_statistics_table_010_p14.csv,general
157.9,157.9,2024_philippine_energy_situationer_and_key_energy_statistics_table_010_p14.csv,general
