unnamed_0,2023,2024,gr,2023_numeric,2024_numeric,gr_numeric,gr_unit,source_pdf,detected_category
Transport,"114,299","120,771",5.7%,114299.0,120771.0,5.7,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_027_p30.csv,general
Industry,"12,548","11,723",-6.6%,12548.0,11723.0,-6.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_027_p30.csv,general
Households,"14,542","14,805",1.8%,14542.0,14805.0,1.8,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_027_p30.csv,general
Services,"17,534","19,464",11.0%,17534.0,19464.0,11.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_027_p30.csv,general
Agriculture,"1,101","1,123",2.0%,1101.0,1123.0,2.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_027_p30.csv,general
Power Generation,"5,079","5,158",1.6%,5079.0,5158.0,1.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_027_p30.csv,general
Non-Energy Use,"10,477","11,471",9.5%,10477.0,11471.0,9.5,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_027_p30.csv,general
Total,"175,580","184,515",5.1%,175580.0,184515.0,5.1,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_027_p30.csv,general
