26_3,26_3_numeric,26_3_unit,source_pdf,detected_category
"0.8%
50.0%",,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_005_p10.csv,general
22.9%,22.9,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_005_p10.csv,general
