unnamed_0,2020,2021,2022,2023,2024,aagr,2020_numeric,2021_numeric,2022_numeric,2023_numeric,2024_numeric,aagr_numeric,aagr_unit,source_pdf,detected_category
Power Generation,"29,755","31,738","32,454","39,573","42,446",10.5%,29755.0,31738.0,32454.0,39573.0,42446.0,10.5,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_077_p65.csv,general
Cement,"1,312","1,697","1,755","1,716","2,295",-3.3%,1312.0,1697.0,1755.0,1716.0,2295.0,-3.3,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_077_p65.csv,general
Industrial/Direct Uses*,"2,177","2,400","1,932","2,200","1,930",3.5%,2177.0,2400.0,1932.0,2200.0,1930.0,3.5,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_077_p65.csv,general
TOTAL,"33,244","35,834","36,141","43,490","46,670",8.8%,33244.0,35834.0,36141.0,43490.0,46670.0,8.8,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_077_p65.csv,general
