municipality_id,municipality_name,province,latitude,longitude,province_id,elevation_m,mean_elevation_m,min_elevation_m,max_elevation_m,elevation_range_m,mean_slope_deg,hydraulic_head_m,terrain_ruggedness,watershed_gradient,hydro_suitability_score,estimated_hydropower_potential_kw,runoff_potential,gravity_flow_potential,terrain_flatness,slope_classification,elevation_classification,ridge_elevation,terrain_exposure_index
6376,MAROGONG,LANAO DEL SUR,7.6754959,124.153302,323,367,388.375,352,466,114,1.9911731211891681,114,28.591683668507525,0.0285,0.2265450097017486,28.374216976945647,0.049779328,0.018916145,0.9502206719702708,flat,mid,466,2.714950199681675
6377,MASIU,LANAO DEL SUR,7.8184459,124.3308048,323,708,716.9375,703,753,50,0.7516747149651464,50,13.571425634398178,0.0125,0.099672388,4.697966968532165,0.018791868,0.003131978,0.9812081321258713,flat,mid,753,2.657237221368893
6378,MULONDO,LANAO DEL SUR,7.9170563,124.3615673,323,707,717.875,698,803,105,1.579619282067881,105,29.542078041329457,0.02625,0.21071110610653324,20.732503077140937,0.039490482,0.013821668718093956,0.960509518,flat,mid,803,2.8814830493449652
6380,PIAGAPO,LANAO DEL SUR,7.989793,124.1796138,323,880,905.625,834,1032,198,3.064146995,198,44.77146831409486,0.0495,0.3835065772881613,75.83763811621264,0.076603675,0.050558425410808426,0.9233963251351387,gentle,mid,1032,2.8226681396899096
6381,PICONG (SULTAN GUMANDER),LANAO DEL SUR,7.6930713,123.8986145,323,50,114.42857142857143,40,239,199,5.711780272842998,199,72.68691598287852,0.04975,0.4453939653645476,54.19357522088696,0.054465904744610015,0.094720356,0.857205493,gentle,low,239,1.713808120390792
6383,PUALAS,LANAO DEL SUR,7.8201575,124.0801292,323,802,887.3125,802,1182,380,6.119526130250095,380,99.75389638380047,0.095,0.6365510488180889,290.6774911868795,0.15298815325625237,0.15298815325625237,0.8470118467437476,gentle,mid,1182,2.954145229
6384,SAGUIARAN,LANAO DEL SUR,8.0340831,124.2687239,323,630,631.125,578,670,92,1.877410193,92,25.263300952171708,0.023,0.18811174045644757,21.590217217049236,0.046935255,0.014393478144699488,0.9530647451803278,flat,mid,670,1.5387933087130834
6385,SULTAN DUMALONDONG,LANAO DEL SUR,7.75749,124.2574747,323,801,797.4375,785,824,39,0.779408205,39,9.746593956352136,0.00975,0.07831528,3.7996149982306813,0.019485205,0.002533077,0.9805147948808683,flat,mid,824,2.7253107489286252
6386,TAGOLOAN,LANAO DEL SUR,8.0798345,124.4157352,323,613,704.8125,582,904,322,9.621788994259026,322,109.77944864021681,0.0805,0.6805632518867223,387.2770070189258,0.24054472485647566,0.24054472485647566,0.7594552751435244,moderate,mid,904,1.814433399445913
6387,TAMPARAN,LANAO DEL SUR,7.8765155,124.3264879,323,704,702.6875,700,707,7,0.10514880429933444,7,1.8946882989030147,0.00175,0.013946303102823196,0.092005204,0.00262872,6.133680250794509e-05,0.9973712798925166,flat,mid,707,2.2760987790963125
6388,TARAKA,LANAO DEL SUR,7.8998799,124.3339467,323,705,702.5,699,707,8,0.1543603385205255,8,2.3717082451262845,0.002,0.016512930622222977,0.1543603385205255,0.003859008,0.000102907,0.9961409915369869,flat,mid,707,1.8973657961013648
6389,TUBARAN,LANAO DEL SUR,7.7450128,124.1841657,323,816,782.75,664,868,204,3.549877919482678,204,59.28690833565198,0.051,0.41611064290967614,90.52188695,0.088746948,0.060347925,0.911253052,gentle,mid,868,1.4379228223444465
6390,TUGAYA,LANAO DEL SUR,7.883728,124.17801,323,767,782.3125,700,1016,316,4.154688102,316,80.94652459340055,0.079,0.5942822203500935,164.11018002776325,0.10386720254921725,0.10386720254921725,0.8961327974507828,gentle,mid,1016,2.8869367559248547
6391,WAO,LANAO DEL SUR,7.6382215,124.7241605,323,556,553.8125,475,645,170,2.831251574828263,170,47.73915943698632,0.0425,0.3434256638623957,60.164095965100586,0.070781289,0.040109397,0.9292187106292934,flat,mid,645,1.9101194735161642
6392,AMPATUAN,MAGUINDANAO,6.8321846,124.4571005,324,47,36,22,85,63,0.8387849186499855,63,17.367354432958408,0.01575,0.12499584061546525,0.7926517481242362,0.002516355,0.004403621,0.9790303770337504,flat,low,85,2.8213852240860824
6393,BARIRA,MAGUINDANAO,7.4705878,124.355677,324,235,257.9375,204,350,146,2.248117832575705,146,44.18210716738169,0.0365,0.29758050725821306,35.27566185093308,0.048322824,0.027352100296337747,0.9437970541856073,flat,mid,350,2.0837054594865836
6394,BULDON,MAGUINDANAO,7.5144498,124.3710663,324,399,408.75,345,475,130,2.3351495770953368,130,40.24689429011883,0.0325,0.2690950845197426,37.94618062779922,0.058378739,0.025297454,0.9416212605726166,flat,mid,475,1.646089705117336
6395,BULUAN,MAGUINDANAO,6.7166195,124.7865943,324,17,15.875,11,21,10,0.16046130579955695,10,2.4717149916606487,0.0025,0.019699656,0.010613846789866528,0.000212277,0.000133718,0.9959884673550111,flat,low,21,2.073458284564771
6396,COTABATO CITY,MAGUINDANAO,7.2237628,124.2467062,324,12,6.1875,3,13,10,0.18794838844434794,10,2.6272311946229627,0.0025,0.020147523325051993,0.004845544,9.69108877916169e-05,0.000156624,0.9953012902888912,flat,low,13,2.593033083997233
6397,DATU ABDULLAH SANGKI,MAGUINDANAO,6.7666556,124.481723,324,50,44.4375,28,89,61,0.8223683569079486,61,15.243723093457188,0.01525,0.11902068724755413,0.9288265106107979,0.003045333,0.004180372,0.9794407910773013,flat,low,89,2.9233342014584762
