technology,grid_connection,year,capacity_mw
Solar energy,OffGrid,2015,0.74
Solar energy,OnGrid,2016,789.85
Solar energy,OffGrid,2016,0.83
Solar energy,OnGrid,2017,914.5
Solar energy,OffGrid,2017,1.15
Solar energy,OnGrid,2018,925.57
Solar energy,OffGrid,2018,4.11
Solar energy,OnGrid,2019,987.83
Solar energy,OffGrid,2019,14.65
Solar energy,OnGrid,2020,1067.86
Solar energy,OffGrid,2020,15.24
Solar energy,OnGrid,2021,1389.92
Solar energy,OffGrid,2021,16.06
Solar energy,OnGrid,2022,1642.35
Solar energy,OffGrid,2022,17.82
Solar energy,OnGrid,2023,1782.55
Solar energy,OffGrid,2023,18.42
Solar energy,OnGrid,2024,2970.57
Solar energy,OffGrid,2024,22.62
Solar energy,OnGrid,2025,3869.15
Solar energy,OffGrid,2025,22.62
Solar photovoltaic,OnGrid,2004,1.0
Solar photovoltaic,OnGrid,2005,1.0
Solar photovoltaic,OffGrid,2005,0.02
Solar photovoltaic,OnGrid,2006,1.0
Solar photovoltaic,OffGrid,2006,0.02
Solar photovoltaic,OnGrid,2007,1.0
Solar photovoltaic,OffGrid,2007,0.02
Solar photovoltaic,OnGrid,2008,1.0
Solar photovoltaic,OffGrid,2008,0.02
Solar photovoltaic,OnGrid,2009,1.0
Solar photovoltaic,OffGrid,2009,0.02
Solar photovoltaic,OnGrid,2010,1.0
Solar photovoltaic,OffGrid,2010,0.02
Solar photovoltaic,OnGrid,2011,1.1
Solar photovoltaic,OffGrid,2011,0.02
Solar photovoltaic,OnGrid,2012,1.7
Solar photovoltaic,OffGrid,2012,0.02
Solar photovoltaic,OnGrid,2013,2.8
Solar photovoltaic,OffGrid,2013,0.05
Solar photovoltaic,OnGrid,2014,28.75
Solar photovoltaic,OffGrid,2014,0.5
Solar photovoltaic,OnGrid,2015,174.1
Solar photovoltaic,OffGrid,2015,0.74
Solar photovoltaic,OnGrid,2016,789.85
Solar photovoltaic,OffGrid,2016,0.83
Solar photovoltaic,OnGrid,2017,914.5
Solar photovoltaic,OffGrid,2017,1.15
Solar photovoltaic,OnGrid,2018,925.57
Solar photovoltaic,OffGrid,2018,4.11
Solar photovoltaic,OnGrid,2019,987.83
Solar photovoltaic,OffGrid,2019,14.65
Solar photovoltaic,OnGrid,2020,1067.86
Solar photovoltaic,OffGrid,2020,15.24
Solar photovoltaic,OnGrid,2021,1389.92
Solar photovoltaic,OffGrid,2021,16.06
Solar photovoltaic,OnGrid,2022,1642.35
Solar photovoltaic,OffGrid,2022,17.82
Solar photovoltaic,OnGrid,2023,1782.55
Solar photovoltaic,OffGrid,2023,18.42
