unnamed_0,2023,2024,gr,2023_numeric,2024_numeric,gr_numeric,gr_unit,source_pdf,detected_category
Services,"17,534","19,464",11.0%,17534.0,19464.0,11.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_023_p26.csv,oil
LPG,"5,280","5,633",6.7%,5280.0,5633.0,6.7,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_023_p26.csv,oil
Diesel,"10,985","12,553",14.3%,10985.0,12553.0,14.3,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_023_p26.csv,oil
Fuel Oil,"1,044","1,019",-2.4%,1044.0,1019.0,-2.4,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_023_p26.csv,oil
Biodiesel,224,258,15.0%,224.0,258.0,15.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_023_p26.csv,oil
Agriculture,"1,101","1,123",2.0%,1101.0,1123.0,2.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_023_p26.csv,oil
Gasoline,86,36,-58.2%,86.0,36.0,-58.2,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_023_p26.csv,oil
Kerosene,-,0.05,,,0.05,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_023_p26.csv,oil
Diesel,991,"1,060",7.0%,991.0,1060.0,7.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_023_p26.csv,oil
Fuel Oil,5,6,26.9%,5.0,6.0,26.9,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_023_p26.csv,oil
Biodiesel,20,21,4.4%,20.0,21.0,4.4,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_023_p26.csv,oil
Power Generation,"5,079","5,158",1.6%,5079.0,5158.0,1.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_023_p26.csv,oil
Diesel,"2,865","3,269",14.1%,2865.0,3269.0,14.1,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_023_p26.csv,oil
Fuel Oil,"2,155","1,824",-15.4%,2155.0,1824.0,-15.4,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_023_p26.csv,oil
Biodiesel,58,66,12.4%,58.0,66.0,12.4,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_023_p26.csv,oil
Non-Energy Use,"10,477","11,471",9.5%,10477.0,11471.0,9.5,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_023_p26.csv,oil
Total,"175,580","184,515",5.1%,175580.0,184515.0,5.1,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_023_p26.csv,oil
