unnamed_0,2023,2024,gr,2023_numeric,2024_numeric,gr_numeric,gr_unit,source_pdf,detected_category
Transport,"12,880","13,548",5.2%,12880.0,13548.0,5.2,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_012_p14.csv,oil
Natural Gas,-,-,,,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_012_p14.csv,oil
Oil,"12,309","12,938",5.1%,12309.0,12938.0,5.1,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_012_p14.csv,oil
Gasoline,"5,590","5,921",5.9%,5590.0,5921.0,5.9,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_012_p14.csv,oil
Diesel,"6,111","6,420",5.1%,6111.0,6420.0,5.1,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_012_p14.csv,oil
Fuel Oil,219,231,5.5%,219.0,231.0,5.5,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_012_p14.csv,oil
Auto LPG,-,-,,,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_012_p14.csv,oil
Aviation fuel,389,365,-6.0%,389.0,365.0,-6.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_012_p14.csv,oil
Biodiesel,121,127,5.1%,121.0,127.0,5.1,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_012_p14.csv,oil
Bioethanol,437,462,5.6%,437.0,462.0,5.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_012_p14.csv,oil
Electricity,13,21,60.4%,13.0,21.0,60.4,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_012_p14.csv,oil
Households,"10,536","10,985",4.3%,10536.0,10985.0,4.3,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_012_p14.csv,oil
Oil,"1,350","1,373",1.8%,1350.0,1373.0,1.8,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_012_p14.csv,oil
LPG,"1,318","1,343",1.9%,1318.0,1343.0,1.9,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_012_p14.csv,oil
Kerosene,32,30,-6.2%,32.0,30.0,-6.2,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_012_p14.csv,oil
Biomass,"6,008","6,069",1.0%,6008.0,6069.0,1.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_012_p14.csv,oil
Fuelwood,"4,145","4,153",0.2%,4145.0,4153.0,0.2,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_012_p14.csv,oil
Charcoal,"1,372","1,431",4.3%,1372.0,1431.0,4.3,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_012_p14.csv,oil
Agriwaste,491,484,-1.3%,491.0,484.0,-1.3,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_012_p14.csv,oil
Electricity,"3,179","3,543",11.5%,3179.0,3543.0,11.5,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_012_p14.csv,oil
