unnamed_0,2020,2021,2022,2023,2024,aagr,2020_numeric,2021_numeric,2022_numeric,2023_numeric,2024_numeric,aagr_numeric,aagr_unit,source_pdf,detected_category
Indigenous Energy,"29,676","29,838","30,422","30,534","31,042",1.6%,29676.0,29838.0,30422.0,30534.0,31042.0,1.6,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_046_p46.csv,oil
Oil,456,392,358,266,241,-11.8%,456.0,392.0,358.0,266.0,241.0,-11.8,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_046_p46.csv,oil
Natural Gas,"3,288","2,820","2,612","1,879","1,638",-6.0%,3288.0,2820.0,2612.0,1879.0,1638.0,-6.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_046_p46.csv,oil
Coal,"6,836","7,414","7,631","8,052","8,401",7.7%,6836.0,7414.0,7631.0,8052.0,8401.0,7.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_046_p46.csv,oil
Hydro,"1,790","2,287","2,510","2,561","2,716",1.8%,1790.0,2287.0,2510.0,2561.0,2716.0,1.8,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_046_p46.csv,oil
Geothermal,"9,249","8,613","8,963","9,226","9,277",0.5%,9249.0,8613.0,8963.0,9226.0,9277.0,0.5,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_046_p46.csv,oil
Biomass,"7,563","7,721","7,731","7,819","7,899",0.7%,7563.0,7721.0,7731.0,7819.0,7899.0,0.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_046_p46.csv,oil
Wind,88,109,89,112,107,23.3%,88.0,109.0,89.0,112.0,107.0,23.3,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_046_p46.csv,oil
Solar(a),118,126,157,219,328,44.5%,118.0,126.0,157.0,219.0,328.0,44.5,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_046_p46.csv,oil
Biodiesel,131,157,166,186,219,5.0%,131.0,157.0,166.0,186.0,219.0,5.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_046_p46.csv,oil
Bioethanol,155,200,206,214,217,12.5%,155.0,200.0,206.0,214.0,217.0,12.5,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_046_p46.csv,oil
Net Imported Energy,"26,827","28,635","30,824","35,111","38,000",6.7%,26827.0,28635.0,30824.0,35111.0,38000.0,6.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_046_p46.csv,oil
Oil,"15,922","16,954","19,163","19,346","20,136",4.5%,15922.0,16954.0,19163.0,19346.0,20136.0,4.5,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_046_p46.csv,oil
Coal,"10,710","11,499","11,445","14,902","16,231",9.4%,10710.0,11499.0,11445.0,14902.0,16231.0,9.4,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_046_p46.csv,oil
Bioethanol,194,183,216,219,218,1.8%,194.0,183.0,216.0,219.0,218.0,1.8,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_046_p46.csv,oil
Natural Gas(b),-,-,-,644,"1,415",119.8%,,,,644.0,1415.0,119.8,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_046_p46.csv,oil
TPES,"56,502","58,473","61,246","65,645","69,041",4.0%,56502.0,58473.0,61246.0,65645.0,69041.0,4.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_046_p46.csv,oil
Renewable Energy (RE),"19,290","19,395","20,038","20,556","20,979",1.1%,19290.0,19395.0,20038.0,20556.0,20979.0,1.1,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_046_p46.csv,oil
Green Energy (RE + Natural Gas),"22,578","22,215","22,650","23,078","24,032",0.9%,22578.0,22215.0,22650.0,23078.0,24032.0,0.9,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_046_p46.csv,oil
Self Sufficiency (%),53,51,50,46.5,45.0,,53.0,51.0,50.0,46.5,45.0,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_046_p46.csv,oil
