total_oil,3_078_68,2_409_75,2_013_56,1_586_61,1_263_53,776_09,3_078_68_numeric,2_409_75_numeric,2_013_56_numeric,1_586_61_numeric,1_263_53_numeric,776_09_numeric,source_pdf,detected_category
Nido(a),79.11,71.15,53.65,56.16,51.74,20.63,79.11,71.15,53.65,56.16,51.74,20.63,2024_philippine_energy_situationer_and_key_energy_statistics_table_150_p51.csv,oil
Matinloc(b),69.83,70.72,72.75,67.49,43.05,1.54,69.83,70.72,72.75,67.49,43.05,1.54,2024_philippine_energy_situationer_and_key_energy_statistics_table_150_p51.csv,oil
North Matinloc(c),8.87,8.36,9.12,2.10,-,-,8.87,8.36,9.12,2.1,,,2024_philippine_energy_situationer_and_key_energy_statistics_table_150_p51.csv,oil
Galoc,"2,920.88","2,259.52","1,878.04","1,460.85","1,166.76",744.45,2920.88,2259.52,1878.04,1460.85,1166.76,744.45,2024_philippine_energy_situationer_and_key_energy_statistics_table_150_p51.csv,oil
Alegria(d),-,-,-,-,1.98,9.47,,,,,1.98,9.47,2024_philippine_energy_situationer_and_key_energy_statistics_table_150_p51.csv,oil
