unnamed_0,2014,2015,2016,2017,2018,2019,2014_numeric,2015_numeric,2016_numeric,2017_numeric,2018_numeric,2019_numeric,source_pdf,detected_category
Gasoline,"25,833","29,667","32,630","35,509","36,574","39,578",25833.0,29667.0,32630.0,35509.0,36574.0,39578.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_064_p60.csv,oil
Diesel,"51,595","57,545","63,622","66,939","69,082","71,101",51595.0,57545.0,63622.0,66939.0,69082.0,71101.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_064_p60.csv,oil
Fuel Oil,"13,364","14,568","12,862","11,719","9,335","8,530",13364.0,14568.0,12862.0,11719.0,9335.0,8530.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_064_p60.csv,oil
Aviation Fuel,"12,463","13,086","14,879","16,474","17,390","17,674",12463.0,13086.0,14879.0,16474.0,17390.0,17674.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_064_p60.csv,oil
LPG,"13,073","14,842","16,926","18,552","20,486","20,782",13073.0,14842.0,16926.0,18552.0,20486.0,20782.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_064_p60.csv,oil
Kerosene,860,811,777,767,638,587,860.0,811.0,777.0,767.0,638.0,587.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_064_p60.csv,oil
Biodiesel,"1,049","1,171","1,289","1,364","1,400","1,437",1049.0,1171.0,1289.0,1364.0,1400.0,1437.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_064_p60.csv,oil
Bioethanol,"2,765","3,168","3,477","3,818","3,936","4,276",2765.0,3168.0,3477.0,3818.0,3936.0,4276.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_064_p60.csv,oil
Others**,"3,501","8,368","8,954","11,397","9,964","7,851",3501.0,8368.0,8954.0,11397.0,9964.0,7851.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_064_p60.csv,oil
Total,"124,503","143,226","155,414","166,539","168,805","171,817",124503.0,143226.0,155414.0,166539.0,168805.0,171817.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_064_p60.csv,oil
