in_mb,unnamed_1,unnamed_1_numeric,unnamed_1_unit,source_pdf,detected_category
Fuel,GR,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_088_p21.csv,oil
Diesel,5.9%,5.9,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_088_p21.csv,oil
Gasoline,6.7%,6.7,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_088_p21.csv,oil
LPG,4.1%,4.1,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_088_p21.csv,oil
IFO/Fuel Oil,-6.7%,-6.7,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_088_p21.csv,oil
Jet Fuel,6.1%,6.1,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_088_p21.csv,oil
Kerosene,-3.0%,-3.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_088_p21.csv,oil
Others*,-0.9%,-0.9,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_088_p21.csv,oil
Total,4.6%,4.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_088_p21.csv,oil
