naphtha,asphalt,other_petroleum_products,hydro,geothermal,solar,wind,biomass,biodiesel,bioethanol,electricity,total,biodiesel_numeric,electricity_numeric,total_numeric,source_pdf,detected_category
-,-,-,"2,715.61","9,277.06",327.66,106.51,"7,898.86",218.76,216.63,-,"31,041.71",218.76,,31041.71,2024_philippine_energy_situationer_and_key_energy_statistics_table_023_p29.csv,oil
"1,030.32",160.46,56.41,-,-,-,-,-,-,228.75,-,"45,841.16",,,45841.16,2024_philippine_energy_situationer_and_key_energy_statistics_table_023_p29.csv,oil
(22.98),-,(643.29),-,-,-,-,-,-,-,-,"(5,180.18)",,,-5180.18,2024_philippine_energy_situationer_and_key_energy_statistics_table_023_p29.csv,oil
-,-,-,-,-,-,-,-,-,-,-,(54.95),,,-54.95,2024_philippine_energy_situationer_and_key_energy_statistics_table_023_p29.csv,oil
-,-,-,-,-,-,-,-,-,-,-,"(1,777.21)",,,-1777.21,2024_philippine_energy_situationer_and_key_energy_statistics_table_023_p29.csv,oil
94.38,5.87,70.53,-,-,-,-,-,(27.57),16.42,-,(829.07),-27.57,,-829.07,2024_philippine_energy_situationer_and_key_energy_statistics_table_023_p29.csv,oil
"1,101.72",166.33,(516.35),"2,715.61","9,277.06",327.66,106.51,"7,898.86",191.20,461.80,-,"69,041.47",191.2,,69041.47,2024_philippine_energy_situationer_and_key_energy_statistics_table_023_p29.csv,oil
16.12,-,777.58,-,-,-,-,-,-,-,-,(360.22),,,-360.22,2024_philippine_energy_situationer_and_key_energy_statistics_table_023_p29.csv,oil
-,-,-,-,-,-,-,-,-,-,-,-,,,,2024_philippine_energy_situationer_and_key_energy_statistics_table_023_p29.csv,oil
-,-,-,"(2,715.61)","(9,277.06)",(327.66),(106.51),(562.81),(8.55),-,-,"(38,915.37)",-8.55,,-38915.37,2024_philippine_energy_situationer_and_key_energy_statistics_table_023_p29.csv,oil
-,-,-,937.97,927.71,327.66,106.51,124.33,-,-,"10,914.95","10,914.95",,10914.95,10914.95,2024_philippine_energy_situationer_and_key_energy_statistics_table_023_p29.csv,oil
-,-,-,-,-,-,-,-,-,-,"(1,072.63)","(1,072.63)",,-1072.63,-1072.63,2024_philippine_energy_situationer_and_key_energy_statistics_table_023_p29.csv,oil
-,-,-,-,-,-,-,-,-,-,(907.82),"(1,539.36)",,-907.82,-1539.36,2024_philippine_energy_situationer_and_key_energy_statistics_table_023_p29.csv,oil
"1,117.84",166.33,261.23,-,-,-,-,"7,336.06",182.64,461.80,"8,934.49","38,068.83",182.64,8934.49,38068.83,2024_philippine_energy_situationer_and_key_energy_statistics_table_023_p29.csv,oil
(6.85),30.08,77.43,-,-,-,-,-,-,-,(0.00),(829.04),,-0.0,-829.04,2024_philippine_energy_situationer_and_key_energy_statistics_table_023_p29.csv,oil
(0.61),18.08,29.64,-,-,-,-,-,-,-,(0.00),(2.18),,-0.0,-2.18,2024_philippine_energy_situationer_and_key_energy_statistics_table_023_p29.csv,oil
"1,124.69",136.26,183.80,-,-,-,-,"7,336.06",182.64,461.80,"8,934.50","38,897.87",182.64,8934.5,38897.87,2024_philippine_energy_situationer_and_key_energy_statistics_table_023_p29.csv,oil
-,-,-,-,-,-,-,930.83,19.53,-,"2,671.87","7,260.39",19.53,2671.87,7260.39,2024_philippine_energy_situationer_and_key_energy_statistics_table_023_p29.csv,oil
-,-,-,-,-,-,-,930.83,6.32,-,"2,263.29","6,106.04",6.32,2263.29,6106.04,2024_philippine_energy_situationer_and_key_energy_statistics_table_023_p29.csv,oil
-,-,-,-,-,-,-,-,0.92,-,40.23,156.54,0.92,40.23,156.54,2024_philippine_energy_situationer_and_key_energy_statistics_table_023_p29.csv,oil
-,-,-,-,-,-,-,-,0.00,-,2.44,5.33,0.0,2.44,5.33,2024_philippine_energy_situationer_and_key_energy_statistics_table_023_p29.csv,oil
-,-,-,-,-,-,-,-,0.21,-,86.01,130.99,0.21,86.01,130.99,2024_philippine_energy_situationer_and_key_energy_statistics_table_023_p29.csv,oil
-,-,-,-,-,-,-,405.32,0.44,-,33.56,470.29,0.44,33.56,470.29,2024_philippine_energy_situationer_and_key_energy_statistics_table_023_p29.csv,oil
-,-,-,-,-,-,-,514.34,0.95,-,545.63,"1,467.96",0.95,545.63,1467.96,2024_philippine_energy_situationer_and_key_energy_statistics_table_023_p29.csv,oil
-,-,-,-,-,-,-,-,0.00,-,70.97,79.36,0.0,70.97,79.36,2024_philippine_energy_situationer_and_key_energy_statistics_table_023_p29.csv,oil
-,-,-,-,-,-,-,-,0.09,-,10.83,22.05,0.09,10.83,22.05,2024_philippine_energy_situationer_and_key_energy_statistics_table_023_p29.csv,oil
-,-,-,-,-,-,-,-,0.10,-,70.98,155.88,0.1,70.98,155.88,2024_philippine_energy_situationer_and_key_energy_statistics_table_023_p29.csv,oil
