unnamed_0,other,unnamed_0_numeric,source_pdf,detected_category
Total,Petroleum,,2024_philippine_energy_situationer_and_key_energy_statistics_table_216_p34.csv,oil
,Products,,2024_philippine_energy_situationer_and_key_energy_statistics_table_216_p34.csv,oil
263.86,-,263.86,2024_philippine_energy_situationer_and_key_energy_statistics_table_216_p34.csv,oil
215.69,-,215.69,2024_philippine_energy_situationer_and_key_energy_statistics_table_216_p34.csv,oil
48.17,-,48.17,2024_philippine_energy_situationer_and_key_energy_statistics_table_216_p34.csv,oil
-,-,,2024_philippine_energy_situationer_and_key_energy_statistics_table_216_p34.csv,oil
263.86,-,263.86,2024_philippine_energy_situationer_and_key_energy_statistics_table_216_p34.csv,oil
65.17,-,65.17,2024_philippine_energy_situationer_and_key_energy_statistics_table_216_p34.csv,oil
991.20,-,991.2,2024_philippine_energy_situationer_and_key_energy_statistics_table_216_p34.csv,oil
19.72,-,19.72,2024_philippine_energy_situationer_and_key_energy_statistics_table_216_p34.csv,oil
263.86,-,263.86,2024_philippine_energy_situationer_and_key_energy_statistics_table_216_p34.csv,oil
568.02,-,568.02,2024_philippine_energy_situationer_and_key_energy_statistics_table_216_p34.csv,oil
"1,015.08",-,1015.08,2024_philippine_energy_situationer_and_key_energy_statistics_table_216_p34.csv,oil
"1,015.08",-,1015.08,2024_philippine_energy_situationer_and_key_energy_statistics_table_216_p34.csv,oil
348.01,-,348.01,2024_philippine_energy_situationer_and_key_energy_statistics_table_216_p34.csv,oil
328.73,-,328.73,2024_philippine_energy_situationer_and_key_energy_statistics_table_216_p34.csv,oil
19.28,-,19.28,2024_philippine_energy_situationer_and_key_energy_statistics_table_216_p34.csv,oil
566.80,-,566.8,2024_philippine_energy_situationer_and_key_energy_statistics_table_216_p34.csv,oil
639.93,-,639.93,2024_philippine_energy_situationer_and_key_energy_statistics_table_216_p34.csv,oil
"12,880.05",-,12880.05,2024_philippine_energy_situationer_and_key_energy_statistics_table_216_p34.csv,oil
11.93,-,11.93,2024_philippine_energy_situationer_and_key_energy_statistics_table_216_p34.csv,oil
"11,593.71",-,11593.71,2024_philippine_energy_situationer_and_key_energy_statistics_table_216_p34.csv,oil
885.78,-,885.78,2024_philippine_energy_situationer_and_key_energy_statistics_table_216_p34.csv,oil
388.63,-,388.63,2024_philippine_energy_situationer_and_key_energy_statistics_table_216_p34.csv,oil
"10,536.01",-,10536.01,2024_philippine_energy_situationer_and_key_energy_statistics_table_216_p34.csv,oil
"4,736.50",-,4736.5,2024_philippine_energy_situationer_and_key_energy_statistics_table_216_p34.csv,oil
401.57,-,401.57,2024_philippine_energy_situationer_and_key_energy_statistics_table_216_p34.csv,oil
229.75,-,229.75,2024_philippine_energy_situationer_and_key_energy_statistics_table_216_p34.csv,oil
157.91,-,157.91,2024_philippine_energy_situationer_and_key_energy_statistics_table_216_p34.csv,oil
61.86,-,61.86,2024_philippine_energy_situationer_and_key_energy_statistics_table_216_p34.csv,oil
9.98,-,9.98,2024_philippine_energy_situationer_and_key_energy_statistics_table_216_p34.csv,oil
0.97,-,0.97,2024_philippine_energy_situationer_and_key_energy_statistics_table_216_p34.csv,oil
170.84,-,170.84,2024_philippine_energy_situationer_and_key_energy_statistics_table_216_p34.csv,oil
"1,396.67",351.79,1396.67,2024_philippine_energy_situationer_and_key_energy_statistics_table_216_p34.csv,oil
46.51,,46.51,2024_philippine_energy_situationer_and_key_energy_statistics_table_216_p34.csv,oil
