nan,gr,gr_numeric,gr_unit,source_pdf,detected_category
Indigenous Energy,1.7%,1.7,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_080_p12.csv,oil
Oil,-9.4%,-9.4,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_080_p12.csv,oil
Natural Gas,-12.8%,-12.8,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_080_p12.csv,oil
Coal,4.3%,4.3,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_080_p12.csv,oil
Hydro,6.0%,6.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_080_p12.csv,oil
Geothermal,0.6%,0.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_080_p12.csv,oil
Biomass,1.0%,1.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_080_p12.csv,oil
Wind,-5.3%,-5.3,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_080_p12.csv,oil
Solar,49.8%,49.8,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_080_p12.csv,oil
Biodiesel,17.6%,17.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_080_p12.csv,oil
Bioethanol,1.2%,1.2,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_080_p12.csv,oil
Imported Energy,8.2%,8.2,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_080_p12.csv,oil
Oil,4.1%,4.1,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_080_p12.csv,oil
Coal,8.9%,8.9,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_080_p12.csv,oil
Bioethanol,-0.4%,-0.4,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_080_p12.csv,oil
Coal,119.8%,119.8,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_080_p12.csv,oil
Total Energy,5.2%,5.2,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_080_p12.csv,oil
Renewable Energy (RE),2.1%,2.1,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_080_p12.csv,oil
Green Energy (RE + Natural Gas),4.1%,4.1,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_080_p12.csv,oil
Self Sufficiency (%),,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_080_p12.csv,oil
