unnamed_0,2014,2015,2016,2017,2018,2019,2014_numeric,2015_numeric,2016_numeric,2017_numeric,2018_numeric,2019_numeric,source_pdf,detected_category
Indigenous Energy,"26,606","26,881","29,405","29,515","29,977","30,906",26606.0,26881.0,29405.0,29515.0,29977.0,30906.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_045_p46.csv,oil
Oil,849,715,702,622,594,523,849.0,715.0,702.0,622.0,594.0,523.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_045_p46.csv,oil
Natural Gas,"3,036","2,854","3,270","3,226","3,601","3,626",3036.0,2854.0,3270.0,3226.0,3601.0,3626.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_045_p46.csv,oil
Coal,"4,012","3,894","5,917","6,298","6,204","7,258",4012.0,3894.0,5917.0,6298.0,6204.0,7258.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_045_p46.csv,oil
Hydro,"2,275","2,157","2,019","2,393","2,336","1,998",2275.0,2157.0,2019.0,2393.0,2336.0,1998.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_045_p46.csv,oil
Geothermal,"8,863","9,496","9,519","8,831","8,973","9,192",8863.0,9496.0,9519.0,8831.0,8973.0,9192.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_045_p46.csv,oil
Biomass,"7,356","7,431","7,494","7,651","7,725","7,736",7356.0,7431.0,7494.0,7651.0,7725.0,7736.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_045_p46.csv,oil
Wind,13,64,84,94,99,90,13.0,64.0,84.0,94.0,99.0,90.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_045_p46.csv,oil
Solar(a),1,12,94,103,107,107,1.0,12.0,94.0,103.0,107.0,107.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_045_p46.csv,oil
Biodiesel,134,164,178,167,168,178,134.0,164.0,178.0,167.0,168.0,178.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_045_p46.csv,oil
Bioethanol,66,94,127,131,170,199,66.0,94.0,127.0,131.0,170.0,199.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_045_p46.csv,oil
Net Imported Energy,"19,833","23,929","24,677","27,985","29,218","28,414",19833.0,23929.0,24677.0,27985.0,29218.0,28414.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_045_p46.csv,oil
Oil,"13,021","16,032","17,337","18,589","18,879","18,000",13021.0,16032.0,17337.0,18589.0,18879.0,18000.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_045_p46.csv,oil
Coal,"6,630","7,721","7,169","9,177","10,145","10,224",6630.0,7721.0,7169.0,9177.0,10145.0,10224.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_045_p46.csv,oil
Bioethanol,182,176,172,219,194,190,182.0,176.0,172.0,219.0,194.0,190.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_045_p46.csv,oil
TPES,"46,439","50,810","54,082","57,499","59,195","59,320",46439.0,50810.0,54082.0,57499.0,59195.0,59320.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_045_p46.csv,oil
Renewable Energy (RE),"18,891","19,594","19,687","19,588","19,772","19,690",18891.0,19594.0,19687.0,19588.0,19772.0,19690.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_045_p46.csv,oil
Green Energy (RE + Natural Gas),"21,927","22,448","22,957","22,814","23,373","23,316",21927.0,22448.0,22957.0,22814.0,23373.0,23316.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_045_p46.csv,oil
Self Sufficiency (%),57,53,54,51,51,52,57.0,53.0,54.0,51.0,51.0,52.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_045_p46.csv,oil
