unnamed_0,2023,2024,gr,2023_numeric,2024_numeric,gr_numeric,gr_unit,source_pdf,detected_category
Services,"4,736","5,138",8.5%,4736.0,5138.0,8.5,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_013_p15.csv,oil
Oil,"2,117","2,357",11.3%,2117.0,2357.0,11.3,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_013_p15.csv,oil
Diesel,"1,480","1,691",14.3%,1480.0,1691.0,14.3,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_013_p15.csv,oil
Fuel Oil,151,147,-2.4%,151.0,147.0,-2.4,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_013_p15.csv,oil
LPG,487,519,6.7%,487.0,519.0,6.7,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_013_p15.csv,oil
Biomass,334,336,0.7%,334.0,336.0,0.7,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_013_p15.csv,oil
Ricehull,5,4,-4.5%,5.0,4.0,-4.5,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_013_p15.csv,oil
Charcoal,159,160,0.6%,159.0,160.0,0.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_013_p15.csv,oil
Fuelwood,170,172,0.9%,170.0,172.0,0.9,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_013_p15.csv,oil
Biodiesel,29,34,15.0%,29.0,34.0,15.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_013_p15.csv,oil
Electricity,"2,256","2,410",6.9%,2256.0,2410.0,6.9,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_013_p15.csv,oil
Agriculture,402,439,9.3%,402.0,439.0,9.3,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_013_p15.csv,oil
Oil,145,148,2.4%,145.0,148.0,2.4,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_013_p15.csv,oil
Gasoline,10,4,-58.2%,10.0,4.0,-58.2,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_013_p15.csv,oil
Kerosene,-,0,,,0.0,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_013_p15.csv,oil
Diesel,133,143,7.0%,133.0,143.0,7.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_013_p15.csv,oil
Fuel Oil,1,1,26.9%,1.0,1.0,26.9,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_013_p15.csv,oil
Biodiesel,3,3,4.4%,3.0,3.0,4.4,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_013_p15.csv,oil
Electricity,254,288,13.2%,254.0,288.0,13.2,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_013_p15.csv,oil
