nan,gr,gr_numeric,gr_unit,source_pdf,detected_category
Services,8.5%,8.5,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_083_p15.csv,oil
Oil,11.3%,11.3,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_083_p15.csv,oil
Diesel,14.3%,14.3,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_083_p15.csv,oil
Fuel Oil,-2.4%,-2.4,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_083_p15.csv,oil
LPG,6.7%,6.7,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_083_p15.csv,oil
Biomass,0.7%,0.7,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_083_p15.csv,oil
Ricehull,-4.5%,-4.5,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_083_p15.csv,oil
Charcoal,0.6%,0.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_083_p15.csv,oil
Fuelwood,0.9%,0.9,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_083_p15.csv,oil
Biodiesel,15.0%,15.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_083_p15.csv,oil
Electricity,6.9%,6.9,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_083_p15.csv,oil
Agriculture,9.3%,9.3,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_083_p15.csv,oil
Oil,2.4%,2.4,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_083_p15.csv,oil
Gasoline,-58.2%,-58.2,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_083_p15.csv,oil
Kerosene,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_083_p15.csv,oil
Diesel,7.0%,7.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_083_p15.csv,oil
Fuel Oil,26.9%,26.9,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_083_p15.csv,oil
Biodiesel,4.4%,4.4,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_083_p15.csv,oil
Electricity,13.2%,13.2,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_083_p15.csv,oil
