nan,nan_1,source_pdf,detected_category
OIL REFINING,,2024_philippine_energy_situationer_and_key_energy_statistics_table_256_p79.csv,oil
,HOUSEHOLD,2024_philippine_energy_situationer_and_key_energy_statistics_table_256_p79.csv,oil
,AGRICULTURE,2024_philippine_energy_situationer_and_key_energy_statistics_table_256_p79.csv,oil
