nan,gr,gr_numeric,gr_unit,source_pdf,detected_category
Transport,5.2%,5.2,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_082_p14.csv,oil
Natural Gas,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_082_p14.csv,oil
Oil,5.1%,5.1,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_082_p14.csv,oil
Gasoline,5.9%,5.9,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_082_p14.csv,oil
Diesel,5.1%,5.1,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_082_p14.csv,oil
Fuel Oil,5.5%,5.5,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_082_p14.csv,oil
Auto LPG,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_082_p14.csv,oil
Aviation fuel,-6.0%,-6.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_082_p14.csv,oil
Biodiesel,5.1%,5.1,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_082_p14.csv,oil
Bioethanol,5.6%,5.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_082_p14.csv,oil
Electricity,60.4%,60.4,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_082_p14.csv,oil
Households,4.3%,4.3,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_082_p14.csv,oil
Oil,1.8%,1.8,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_082_p14.csv,oil
LPG,1.9%,1.9,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_082_p14.csv,oil
Kerosene,-6.2%,-6.2,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_082_p14.csv,oil
Biomass,1.0%,1.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_082_p14.csv,oil
Fuelwood,0.2%,0.2,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_082_p14.csv,oil
Charcoal,4.3%,4.3,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_082_p14.csv,oil
Agriwaste,-1.3%,-1.3,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_082_p14.csv,oil
Electricity,11.5%,11.5,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_082_p14.csv,oil
