nan,gr,gr_numeric,gr_unit,source_pdf,detected_category
Industry,2.7%,2.7,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_081_p13.csv,oil
Coal,8.0%,8.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_081_p13.csv,oil
Natural Gas,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_081_p13.csv,oil
Oil,-6.5%,-6.5,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_081_p13.csv,oil
Diesel,-8.2%,-8.2,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_081_p13.csv,oil
Fuel Oil,-0.3%,-0.3,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_081_p13.csv,oil
LPG,-5.6%,-5.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_081_p13.csv,oil
Kerosene,-20.0%,-20.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_081_p13.csv,oil
Biomass,0.3%,0.3,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_081_p13.csv,oil
Ricehull,0.5%,0.5,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_081_p13.csv,oil
Fuelwood,-0.6%,-0.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_081_p13.csv,oil
Bagasse,0.5%,0.5,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_081_p13.csv,oil
Agriwaste,0.5%,0.5,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_081_p13.csv,oil
Animal Waste,0.5%,0.5,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_081_p13.csv,oil
Biodiesel,-8.8%,-8.8,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_081_p13.csv,oil
Electricity,5.4%,5.4,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_081_p13.csv,oil
