unnamed_0,other,unnamed_0_numeric,source_pdf,detected_category
Total,Petroleum,,2024_philippine_energy_situationer_and_key_energy_statistics_table_212_p28.csv,oil
,Products,,2024_philippine_energy_situationer_and_key_energy_statistics_table_212_p28.csv,oil
"31,041.71",-,31041.71,2024_philippine_energy_situationer_and_key_energy_statistics_table_212_p28.csv,oil
"45,841.16",56.41,45841.16,2024_philippine_energy_situationer_and_key_energy_statistics_table_212_p28.csv,oil
"(5,180.18)",(643.29),-5180.18,2024_philippine_energy_situationer_and_key_energy_statistics_table_212_p28.csv,oil
(54.95),-,-54.95,2024_philippine_energy_situationer_and_key_energy_statistics_table_212_p28.csv,oil
"(1,777.21)",-,-1777.21,2024_philippine_energy_situationer_and_key_energy_statistics_table_212_p28.csv,oil
(829.07),70.53,-829.07,2024_philippine_energy_situationer_and_key_energy_statistics_table_212_p28.csv,oil
"69,041.47",(516.35),69041.47,2024_philippine_energy_situationer_and_key_energy_statistics_table_212_p28.csv,oil
(360.22),777.58,-360.22,2024_philippine_energy_situationer_and_key_energy_statistics_table_212_p28.csv,oil
-,-,,2024_philippine_energy_situationer_and_key_energy_statistics_table_212_p28.csv,oil
"(38,915.37)",-,-38915.37,2024_philippine_energy_situationer_and_key_energy_statistics_table_212_p28.csv,oil
"10,914.95",-,10914.95,2024_philippine_energy_situationer_and_key_energy_statistics_table_212_p28.csv,oil
"(1,072.63)",-,-1072.63,2024_philippine_energy_situationer_and_key_energy_statistics_table_212_p28.csv,oil
"(1,539.36)",-,-1539.36,2024_philippine_energy_situationer_and_key_energy_statistics_table_212_p28.csv,oil
"38,068.83",261.23,38068.83,2024_philippine_energy_situationer_and_key_energy_statistics_table_212_p28.csv,oil
(829.04),77.43,-829.04,2024_philippine_energy_situationer_and_key_energy_statistics_table_212_p28.csv,oil
(2.18),29.64,-2.18,2024_philippine_energy_situationer_and_key_energy_statistics_table_212_p28.csv,oil
"38,897.87",183.80,38897.87,2024_philippine_energy_situationer_and_key_energy_statistics_table_212_p28.csv,oil
"7,260.39",-,7260.39,2024_philippine_energy_situationer_and_key_energy_statistics_table_212_p28.csv,oil
"6,106.04",-,6106.04,2024_philippine_energy_situationer_and_key_energy_statistics_table_212_p28.csv,oil
156.54,-,156.54,2024_philippine_energy_situationer_and_key_energy_statistics_table_212_p28.csv,oil
5.33,-,5.33,2024_philippine_energy_situationer_and_key_energy_statistics_table_212_p28.csv,oil
130.99,-,130.99,2024_philippine_energy_situationer_and_key_energy_statistics_table_212_p28.csv,oil
470.29,-,470.29,2024_philippine_energy_situationer_and_key_energy_statistics_table_212_p28.csv,oil
"1,467.96",-,1467.96,2024_philippine_energy_situationer_and_key_energy_statistics_table_212_p28.csv,oil
79.36,-,79.36,2024_philippine_energy_situationer_and_key_energy_statistics_table_212_p28.csv,oil
22.05,-,22.05,2024_philippine_energy_situationer_and_key_energy_statistics_table_212_p28.csv,oil
155.88,-,155.88,2024_philippine_energy_situationer_and_key_energy_statistics_table_212_p28.csv,oil
