unnamed_0,2023,2024,gr,2023_numeric,2024_numeric,gr_numeric,gr_unit,source_pdf,detected_category
Industry,"12,548","11,723",-6.6%,12548.0,11723.0,-6.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_022_p25.csv,oil
Kerosene,120,96,-20.0%,120.0,96.0,-20.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_022_p25.csv,oil
LPG,"2,154","2,034",-5.6%,2154.0,2034.0,-5.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_022_p25.csv,oil
Diesel,"8,056","7,396",-8.2%,8056.0,7396.0,-8.2,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_022_p25.csv,oil
Fuel Oil,"2,053","2,046",-0.3%,2053.0,2046.0,-0.3,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_022_p25.csv,oil
Biodiesel,164,150,-8.8%,164.0,150.0,-8.8,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_022_p25.csv,oil
Transport,"114,299","120,771",5.7%,114299.0,120771.0,5.7,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_022_p25.csv,oil
Gasoline,"45,362","48,062",6.0%,45362.0,48062.0,6.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_022_p25.csv,oil
Diesel,"45,601","47,958",5.2%,45601.0,47958.0,5.2,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_022_p25.csv,oil
Fuel Oil,"1,667","1,709",2.6%,1667.0,1709.0,2.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_022_p25.csv,oil
Aviation Fuel,"15,824","16,871",6.6%,15824.0,16871.0,6.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_022_p25.csv,oil
LPG,0,0,,0.0,0.0,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_022_p25.csv,oil
Bioethanol,"4,919","5,197",5.6%,4919.0,5197.0,5.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_022_p25.csv,oil
Biodiesel,926,974,5.1%,926.0,974.0,5.1,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_022_p25.csv,oil
Households,"14,542","14,805",1.8%,14542.0,14805.0,1.8,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_022_p25.csv,oil
LPG,"14,291","14,570",1.9%,14291.0,14570.0,1.9,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_022_p25.csv,oil
Kerosene,251,235,-6.2%,251.0,235.0,-6.2,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_022_p25.csv,oil
