Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /ecosim/ (simulation),9,0,600,699.013977803083,423.9443000406027,1052.2568000014871,7506.555555555556,0.30877310196033314,0.0,600,920,960,970,1100,1100,1100,1100,1100,1100,1100
GET,GET /ecosim/municipalities,6,0,42,44.1545166928942,41.54090001247823,51.482100039720535,135135.0,0.2058487346402221,0.0,43,43,44,44,51,51,51,51,51,51,51
GET,GET /ecosim/provinces,6,0,38,37.790350014499076,37.168100010603666,38.94070000387728,5120.0,0.2058487346402221,0.0,38,38,38,38,39,39,39,39,39,39,39
GET,GET /energyhub/map-data,11,0,39,39.15848181879317,36.965199979022145,40.896099992096424,25371.0,0.3773893468404072,0.0,39,40,40,40,41,41,41,41,41,41,41
GET,GET /energyhub/overview,11,0,5,5.6317636362192305,3.9807999273762107,8.383999927900732,827.0,0.3773893468404072,0.0,5,6,6,6,8,8,8,8,8,8,8
GET,GET /energyhub/trends,11,0,8,8.853572759438645,5.3662999998778105,14.42769996356219,3902.0,0.3773893468404072,0.0,8,9,9,9,10,14,14,14,14,14,14
GET,GET /geospatial/centroids,10,0,38,38.6715600383468,36.919800098985434,42.026199982501566,10837.0,0.34308122440037014,0.0,39,39,40,41,42,42,42,42,42,42,42
GET,GET /geothermal/plants,6,0,2.0614999812096357,3.044766664970666,2.0614999812096357,5.706300027668476,22377.0,0.2058487346402221,0.0,3,3,3,3,6,6,6,6,6,6,6
GET,GET /map/coverage,10,0,37,37.28752000024542,36.12469998188317,39.642399991862476,88.0,0.34308122440037014,0.0,37,38,38,38,40,40,40,40,40,40,40
GET,GET /map/solar,10,0,50,50.150230003055185,47.25129995495081,51.97639996185899,144659.0,0.34308122440037014,0.0,51,51,52,52,52,52,52,52,52,52,52
GET,GET /products/browse,6,0,4,5.048683340040346,3.5386000527068973,7.155400002375245,7697.0,0.2058487346402221,0.0,5,5,7,7,7,7,7,7,7,7,7
,Aggregated,96,0,37,90.44302917997508,2.0614999812096357,1052.2568000014871,31004.927083333332,3.2935797542435536,0.0,38,40,42,47,52,600,970,1100,1100,1100,1100
