Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /ecosim/ (simulation),84,0,1100,1345.666033332236,478.10019995085895,3511.4426999352872,7530.9047619047615,1.4400143333771838,0.0,1100,1500,1900,2000,2300,2700,2700,3500,3500,3500,3500
GET,GET /ecosim/municipalities,44,0,450,502.8726295435759,74.77529998868704,1700.2063998952508,135135.0,0.7542932222451915,0.0,480,570,600,610,1000,1100,1700,1700,1700,1700,1700
GET,GET /ecosim/provinces,43,0,610,592.7401906918994,81.14169992040843,1972.8019000031054,5120.0,0.7371501944668917,0.0,610,680,760,770,1400,1600,2000,2000,2000,2000,2000
GET,GET /energyhub/map-data,102,0,190,343.68300195965986,36.755000008270144,1096.926199970767,25371.0,1.7485888333865802,0.0,190,330,630,730,770,1000,1100,1100,1100,1100,1100
GET,GET /energyhub/overview,105,0,330,378.77693047436577,6.3732999842613935,1334.7664000466466,827.0,1.8000179167214796,0.0,330,430,530,580,870,1000,1100,1200,1300,1300,1300
GET,GET /energyhub/trends,102,0,200,481.0849441130938,5.206300062127411,1680.8887000661343,3902.0,1.7485888333865802,0.0,220,600,910,980,1400,1500,1700,1700,1700,1700,1700
GET,GET /geospatial/centroids,63,0,320,472.24325714780696,38.12159993685782,1472.258200054057,10837.0,1.0800107500328877,0.0,320,660,730,770,1100,1200,1300,1500,1500,1500,1500
GET,GET /geothermal/plants,43,0,95,236.80845813468358,5.209200084209442,988.4519999613985,22377.0,0.7371501944668917,0.0,95,220,500,570,590,610,990,990,990,990,990
GET,GET /map/coverage,64,0,280,371.31337812388665,37.11000003386289,1337.7433000132442,88.0,1.0971537778111875,0.0,300,480,540,580,700,890,1200,1300,1300,1300,1300
GET,GET /map/solar,63,0,230,595.3473111111966,51.28470005001873,2374.8422000790015,144659.0,1.0800107500328877,0.0,230,730,980,1100,1400,1700,2400,2400,2400,2400,2400
GET,GET /products/browse,43,0,230,405.18211396032035,14.253700035624206,1541.8405000818893,7697.0,0.7371501944668917,0.0,230,590,620,660,780,1000,1500,1500,1500,1500,1500
,Aggregated,756,0,370,533.3015019829858,5.206300062127411,3511.4426999352872,27733.384920634922,12.960129000394653,0.0,380,610,730,890,1200,1700,2100,2500,3500,3500,3500
