year,total_peak_demand_mw,ci_lower,ci_upper
2025,15684.970060504736,14942.632258097543,16427.30786291193
2026,16087.931224679194,15013.186762231302,17162.675687127088
2027,16490.88349271978,15144.76159220074,17837.005393238815
2028,16893.826864822888,15305.751181033447,18481.90254861233
2029,17296.761341184916,15484.329354086622,19109.19332828321
2030,17699.686922002253,15674.635418831778,19724.738425172727
