model,mae,rmse,mape
Linear Trend Regression,5993.83075335397,7342.095035724744,4.965126104291288
Holt Linear Smoothing,6203.096783861081,7622.78651215864,5.135743634922674
Naive with Drift,6709.323529411762,8128.453096938859,5.566169700828971
"ARIMA(1,1,1)",6829.090287188912,8257.124448119544,5.667111788579132
"SARIMAX(1,1,1) + Exog",9902.180916423922,11477.402982886166,8.273983211325532
Random Forest Regression,15911.780369150165,17752.81756345702,13.37438382104675
