year,total_consumption_gwh,ci_lower,ci_upper
2025,104579.74071979962,98201.22686233606,110958.25457726319
2026,107403.30459938671,98255.88629534314,116550.72290343029
2027,110226.6916498361,98870.21167974417,121583.17161992802
2028,113049.90188222192,99761.98498230931,126337.81878213453
2029,115872.93530761765,100823.9245186596,130921.9460965757
2030,118695.79193709602,102002.02731565302,135389.556558539
