year,total_consumption_gwh,ci_lower,ci_upper
2025,121757.40259740222,113480.45968188303,130034.34551292141
2026,125211.78543195873,116934.84251643954,133488.72834747794
2027,128666.16826651618,120389.22535099699,136943.11118203538
2028,132120.5511010727,123843.6081855535,140397.4940165919
2029,135574.9339356292,127297.99102011001,143851.8768511484
2030,139029.31677018572,130752.37385466653,147306.25968570492
