Year,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Luzon,6149,6323,6443,6466,6643,6674,6928,7656,7552,7889,8305,8717,8928,9726,10054,10876,11344,11103,11640,12113,12550,14016
Visayas,995,1025,1037,1066,1102,1176,1241,1431,1481,1551,1572,1636,1768,1893,1975,2053,2224,2201,2252,2316,2458,2681
Mindanao,1131,1177,1149,1228,1241,1204,1303,1288,1346,1321,1428,1469,1517,1653,1760,1853,2013,1978,2144,2167,2323,2577
Total Non-Coincident Peak Demand,8275,8525,8629,8760,8987,9054,9472,10375,10379,10761,11305,11822,12213,13272,13789,14782,15581,15282,16036,16596,17331,19274
