,2014,2015,2016,2017,2018,2019
Households,"8,488","8,731","9,035","9,192","9,431","9,711"
Oil,862,973,"1,122","1,159","1,255","1,312"
LPG,769,888,"1,043","1,083","1,176","1,240"
Kerosene,93,85,79,75,79,72
Biomass,"5,823","5,802","5,709","5,731","5,746","5,772"
Fuelwood,"4,290","4,259","4,131","4,119","4,107","4,100"
Charcoal,946,973,"1,027","1,067","1,110","1,157"
Agriwaste,588,570,551,545,529,515
Electricity,"1,803","1,956","2,204","2,303","2,430","2,627"
Services,"3,397","3,370","3,865","4,404","4,668","4,936"
Oil,"1,432","1,292","1,632","2,074","2,223","2,360"
Diesel,"1,053",843,"1,058","1,397","1,568","1,706"
Fuel Oil,113,138,201,146,148,158
LPG,266,310,374,532,507,495
Biomass,332,337,340,345,350,353
Ricehull,7,6,6,7,7,7
Charcoal,162,164,166,168,171,172
Fuelwood,164,166,168,170,173,174
Biodiesel,20,14,21,28,30,33
Electricity,"1,613","1,727","1,872","1,958","2,065","2,191"
Agriculture,354,401,450,515,439,473
Oil,172,194,229,290,208,229
Gasoline,5,8,7,12,7,9
Kerosene(c),0,0,1,0,0,0
Diesel,165,182,212,270,200,218
Fuel Oil,2,3,8,7,1,2
Biodiesel,3,4,4,5,4,4
Electricity,178,203,218,220,227,239
Non-Energy Use,605,"1,179","1,306","1,613","1,423","1,137"
Oil,450,"1,047","1,129","1,458","1,261",996
Coal,154,132,177,155,162,141
Total,"28,506","30,988","33,530","35,474","35,723","36,260"
