,CO2 Emission
Emission,
,(MTCO2e)
,
,
2023-2024,2023
8.02,89.86
5.10,36.67
1.68,12.68
7.73,10.28
16.48,1.5
6.84,150.99
Change in,
,
Distribution,
0.66,56.51
(0.40),24.29
(0.41),8.40
0.06,6.81
0.09,0.99
,100.0
,
