Sector and Activity,2023,2024,GR
Industry,12.75,12.96,1.7%
Transport,36.93,38.81,5.1%
Others(2),10.35,11.15,7.7%
Electricity Generation,90.22,97.46,8.0%
Energy(3),1.51,1.75,16.5%
TOTAL,151.75,162.13,6.8%
