Philippines,2023,2024,GR
Coal,"73,754","79,359",8%
Oil,"1,304","1,342",3%
Natural Gas,"16,668","18,047",8%
Renewable Energy,"26,278","28,193",7%
Geothermal,"10,730","10,789",0.6%
Hydro,"10,287","10,909",6%
Biomass,"1,409","1,446",3%
Solar,"2,544","3,811",50%
Wind,"1,308","1,239",-5%
Total,"118,004","126,941",8%
