MB,
Source,AAGR*
,
Industry,"10,732"
Kerosene,-2.7%
Kerosene,15
LPG,3.9%
LPG,"1,872"
Diesel,6.4%
Diesel,"5,598"
Fuel Oil,-5.6%
Biodiesel,"3,136"
Transport,4.2%
Biodiesel,112
Gasoline,6.4%
Transport,"112,365"
Diesel,2.9%
Gasoline,"39,504"
Fuel Oil,0.1%
Diesel,"48,205"
Aviation Fuel,3.1%
Fuel Oil,-100.0%
Bioethanol,6.5%
Aviation Fuel,"17,674"
Biodiesel,2.9%
LPG,95
Households,5.0%
Bioethanol,"4,276"
LPG,5.7%
"Biodiesel
Kerosene","974
-10.7%"
Households,"14,014"
LPG,6.9%
LPG,"13,445"
Diesel,4.8%
Kerosene,569
Fuel Oil,2.7%
Services,"19,386"
Biodiesel,5.5%
"LPG
Agriculture","5,370
-1.5%"
Gasoline,"12,668"
Kerosene,-33.5%
Fuel Oil,"1,095"
Diesel,-1.5%
Biodiesel,253
Fuel Oil,-6.8%
Power Generation,"5,728"
Biodiesel,-2.0%
"Diesel
Power Generation","3,015"
Fuel Oil,"2,646"
Fuel Oil,-12.9%
Biodiesel,67
Biodiesel,2.3%
Non-Energy Use,"7,851"
Non-Energy Use,12.6%
Total,"171,817"
*average annual growth rate,
