Source,22001144,22001155,22001166,22001177,22001188,22001199
IInndduusstrtyry,"99,,222244","1100,,552288","1111,,004466","1111,,002222","1111,,339922","1100,,773322"
"Kerosene
Kerosene","126
126","139
139","148
148","170
170","16
16","15
15"
,,,,,,
LPG,"1,387","1,528","1,412",924,"2,129","1,872"
"LPG
Diesel","1,387
3,975","1,528
4,357","1,412
4,869","924
5,570","2,129
5,144","1,872
5,598"
,,,,,,
"Diesel
Fuel Oil","3,975
3,649","4,357
4,413","4,869
4,520","5,570
4,247","5,144
4,000","5,598
3,136"
BFuioedli eOsiell,"3,64896","4,41932","4,52907","4,214171","4,010003","3,113162"
TraBnsiopdoiretsel,"79,98966","91,89921","99,49576","105,215151","108,180131","112,131625"
"Gasoline
Transport","25,795
79,996","29,601
91,891","32,568
99,456","35,411
105,255","36,516
108,811","39,504
112,365"
,,,,,,
Diesel,"36,097","43,435","45,749","46,067","48,043","48,205"
"Gasoline
Fuel Oil","25,795
1,690","29,601
1,386","32,568
1,707","35,411
2,431","36,516
1,845","39,504
1,637"
,,,,,,
"Diesel
Aviation Fuel","36,097
12,463","43,435
13,086","45,749
14,879","46,067
16,474","48,043
17,390","48,205
17,674"
LFPuGel Oil,"1,649503","1,338261","1,710476","2,413112","1,814058","1,63975"
BAivoieatthiaonno Fluel,"122,4,76635","133,0,18668","143,,847797","163,4,87148","173,3,99306","174,6,27746"
,,,,,,
"Biodiesel
LPG","734
453","893
321","929
146","942
112","972
108","974
95"
,,,,,,
Households,"9,074","10,301","11,938","12,342","13,373","14,014"
"Bioethanol
LPG","2,765
8,343","3,168
9,632","3,477
11,314","3,818
11,749","3,936
12,754","4,276
13,445"
,,,,,,
KBeiorodsieenseel,773341,869639,962294,954923,967220,957649
SHeoruvisceehsolds,"191,0,67441","1100,3,60912","1113,,943586","1127,3,34527","1138,,337933","1419,0,31846"
LLPPGG,"82,,384903","93,,633620","114,,301544","115,7,74697","125,,745945","135,4,34750"
,,,,,,
"Diesel
Kerosene","7,819
731","6,262
669","7,853
624","10,368
593","11,641
620","12,668
569"
,,,,,,
Fuel Oil,780,959,"1,390","1,011","1,025","1,095"
"Services
Biodiesel","11,641
151","10,692
111","13,456
158","17,357
212","18,393
233","19,386
253"
,,,,,,
AgrLicPuGlture,"21,,839006","31,,346701","41,0,75341","52,,726072","51,,459759","51,,377401"
GDaiessoelinle,"7,81397","6,26626","7,85631","10,36988","11,64581","12,66784"
KFuereols Oenile,7803,9593,"1,3905","1,0113","1,0253","1,0953"
,,,,,,
Diesel,"1,227","1,355","1,577","2,008","1,484","1,615"
Biodiesel,151,111,158,212,233,253
Fuel Oil,13,18,56,52,5,17
"Power Generation
Biodiesel","9,762
26","9,976
29","8,833
32","6,965
41","5,292
30","5,728
32"
,,,,,,
PowDeire sGeelneration,"29,,477672","29,,193776","38,,587333","26,,992665","25,,727902","35,,071258"
DFuieesle Ol il,"72,,243737","72,7,19337","53,,158783","32,,997296","22,4,76700","23,6,04165"
FBuioeld Oieilsel,"7,25323","7,74953","5,17828","3,96709","2,46620","2,66476"
,,,,,,
Biodiesel,52,45,72,60,62,67
Non-Energy Use,"3,501","8,368","8,954","11,397","9,964","7,851"
Non-Energy Use,"3,501","8,368","8,954","11,397","9,964","7,851"
,,,,,,
TToottaall,"112244,,550033","114433,,222266","115555,4,41144","116666,,553399","116688,,880055","117711,,881177"
