,Coal,"Natural
Gas",Condensate,Crude,Gasoline,Kerosene,Diesel,Fuel Oil,LPG,Jet A-1,Avgas
Indigenous,"8,401.29","1,638.17",180.97,60.19,-,-,-,-,-,-,-
Imports (+),"21,299.76","1,415.18",-,"6,097.24","4,372.50",20.57,"7,281.93",948.22,"1,797.46","1,128.52",3.84
Exports (-),"(4,157.47)",-,(180.97),(66.95),(50.86),-,(32.41),(22.98),(2.26),-,-
"International Marine
Bunkers (-)",-,-,-,-,-,-,(39.56),(15.39),-,-,-
"International Civil
Aviation (-)",-,-,-,-,-,-,-,-,-,"(1,777.21)",-
Stock Change (+/-),(911.14),-,-,(79.14),(26.05),(2.09),75.01,(16.72),(7.08),(21.82),0.32
"Total Primary Energy
Supply","24,632.45","3,053.34",-,"6,011.34","4,295.60",18.48,"7,284.97",893.13,"1,788.12",(670.51),4.15
Refinery (Crude Run),-,-,-,"(6,409.25)","1,612.92",20.52,"2,265.85",55.45,231.56,"1,069.04",-
Power Generation,-,-,-,-,-,-,-,-,-,-,-
Fuel Input (-),"(22,403.00)","(2,810.52)",-,-,-,-,(440.29),(263.37),-,-,-
Electricity Generation,"6,823.67","1,551.74",-,-,-,-,101.93,13.43,-,-,-
"Transmission/
Distribution Loss (-)",-,-,-,-,-,-,-,-,-,-,-
"Energy Sector Use &
Loss (-)",-,(242.83),-,(388.71),-,-,-,-,-,-,-
Net Domestic Supply,"2,229.45",-,-,(786.63),"5,908.51",39.00,"9,110.53",685.22,"2,019.68",398.53,4.15
Statistical Difference,-,-,-,-,(17.22),(3.12),(139.75),10.25,(30.62),37.44,(0.06)
% Statistical Difference,-,-,-,-,-,(7.99),(1.53),1.50,(1.52),9.40,(1.37)
"Total Final Energy
Consumption","2,229.45",-,-,-,"5,925.73",42.12,"9,250.28",674.96,"2,050.29",361.08,4.21
Industry,"2,146.65",-,-,-,-,12.21,996.29,295.46,187.54,-,-
Manufacturing,"2,146.65",-,-,-,-,12.02,319.22,244.34,183.37,-,-
Beverages,46.91,-,-,-,-,0.06,46.57,19.29,2.56,-,-
Tobacco,-,-,-,-,-,-,0.21,0.01,2.67,-,-
Coco/Vegetable Oil,26.25,-,-,-,-,0.10,10.63,0.83,6.96,-,-
Sugar,4.85,-,-,-,-,1.89,23.54,0.64,0.04,-,-
Food Processing,262.85,-,-,-,-,5.00,46.21,12.08,80.91,-,-
Textiles/Apparel,4.25,-,-,-,-,-,0.07,2.02,2.05,-,-
Wood Prod/Furniture,-,-,-,-,-,-,4.60,2.28,4.24,-,-
Paper Prod/Printing,77.06,-,-,-,-,0.01,4.88,1.69,1.16,-,-
