,2014,2015,2016,2017,2018,2019
Indigenous Energy,"26,606","26,881","29,405","29,515","29,977","30,906"
Oil,849,715,702,622,594,523
Natural Gas,"3,036","2,854","3,270","3,226","3,601","3,626"
Coal,"4,012","3,894","5,917","6,298","6,204","7,258"
Hydro,"2,275","2,157","2,019","2,393","2,336","1,998"
Geothermal,"8,863","9,496","9,519","8,831","8,973","9,192"
Biomass,"7,356","7,431","7,494","7,651","7,725","7,736"
Wind,13,64,84,94,99,90
Solar(a),1,12,94,103,107,107
Biodiesel,134,164,178,167,168,178
Bioethanol,66,94,127,131,170,199
Net Imported Energy,"19,833","23,929","24,677","27,985","29,218","28,414"
Oil,"13,021","16,032","17,337","18,589","18,879","18,000"
Coal,"6,630","7,721","7,169","9,177","10,145","10,224"
Bioethanol,182,176,172,219,194,190
TPES,"46,439","50,810","54,082","57,499","59,195","59,320"
Renewable Energy (RE),"18,891","19,594","19,687","19,588","19,772","19,690"
Green Energy (RE + Natural Gas),"21,927","22,448","22,957","22,814","23,373","23,316"
Self Sufficiency (%),57,53,54,51,51,52
